owner_org,overall_total
pwgsc-tpsgc,4160663980.35
dnd-mdn,2267685094.52
esdc-edsc,1536533048.94
csa-asc,869893613.51
phac-aspc,802510545.13
dfo-mpo,670408250.01
dfatd-maecd,576577907.41
hc-sc,549960571.34
cic,548867307.31
csc-scc,329090867.26
ic,308479591.81
tc,306888126.03
vac-acc,288359452.97
ec,286591356.30
nrcan-rncan,276079574.04
cbsa-asfc,246720668.44
aandc-aadnc,230737844.07
ssc-spc,207935625.28
pc,198652077.52
rcmp-grc,184564506.67
tbs-sct,179588624.89
ppsc-sppc,177091402.79
nrc-cnrc,168977363.48
cfia-acia,161710343.17
irb-cisr,157196861.01
cra-arc,147428640.86
aafc-aac,134662778.56
elections,113523625.84
isc-sac,103698548.55
pch,81939169.08
pco-bcp,71681794.41
statcan,63703513.32
ps-sp,57001257.83
fin,56065872.76
iic-iac,39647769.87
jus,35974953.97
cer-rec,34748467.29
oag-bvg,34012497.93
osfi-bsif,26699885.98
cas-satj,25086738.05
fcac-acfc,22669508.02
infc,21989588.90
cnsc-ccsn,21648606.42
wage,19278951.25
nserc-crsng,15303528.16
nfb-onf,14283550.88
lac-bac,12671474.78
atssc-scdata,11130410.73
oic-ci,10467018.47
feddevontario,9452152.91
iaac-aeic,9400464.62
crtc,8670865.57
chrc-ccdp,8589886.61
opc-cpvp,8333361.46
cihr-irsc,8330780.12
sshrc-crsh,6408636.05
ocol-clo,6297068.38
tsb-bst,6141003.11
csps-efpc,5392673.37
acoa-apeca,4995019.28
pmprb-cepmb,4770301.79
psic-ispc,3975763.96
psc-cfp,3547970.77
osgg-bsgg,3530492.29
casdo-ocena,3480999.64
ijc-cmi,3376887.94
wd-deo,3158511.73
cta-otc,3055966.79
cpc-cpp,2952978.77
pbc-clcc,2839154.88
mpcc-cppm,2835184.68
cgc-ccg,2755094.72
fja-cmf,2713634.61
ced-dec,2453050.54
prairiescan,2321264.34
ocl-cal,2208657.90
ccohs-cchst,1922149.09
polar-polaire,1609441.41
swc-cfc,1545352.32
nbc-ccbn,1544992.54
nsira-ossnr,1543227.27
cannor,1390672.10
fintrac-canafe,1369302.32
fpcc-cpac,843805.67
erc-cee,831843.97
cics-scic,705728.58
ocsec-bccst,542578.80
sirc-csars,482419.82
mgerc-ceegm,455142.89
oci-bec,420974.95
pacifican,362864.06
vrab-tacra,324544.62
fednor,170053.36
oto-boc,22107.60
pptc,10013.25
