owner_org,overall_total
pwgsc-tpsgc,3440138459.84
dnd-mdn,1679637811.54
esdc-edsc,1321225967.09
ssc-spc,1300464161.68
dfo-mpo,504911508.68
dfatd-maecd,385701738.98
hc-sc,319978240.59
cic,304663557.54
tbs-sct,295544719.16
tc,252222198.29
csc-scc,225190015.03
phac-aspc,199358660.02
nrcan-rncan,188314579.09
ec,175875766.98
elections,174473647.72
csa-asc,173664823.43
vac-acc,170289438.59
aandc-aadnc,169654464.61
cbsa-asfc,168330303.23
ic,161757108.64
pc,134573073.04
rcmp-grc,129714886.94
nrc-cnrc,94233093.16
cfia-acia,93234852.61
aafc-aac,90061303.9
isc-sac,61413009.93
pco-bcp,55538375.11
pch,55226269.5
ps-sp,45429661.43
fin,39738090.89
cer-rec,25808260.15
jus,23186528.19
statcan,20037204.5
oag-bvg,19962035.43
osfi-bsif,17512897.14
irb-cisr,16454603.52
fcac-acfc,15946923.54
cas-satj,15720378.48
infc,15055600.8
nserc-crsng,12858630.38
cnsc-ccsn,12724811.73
lac-bac,8639352.34
oic-ci,8344456.96
crtc,8323599.31
wage,7984467.9
nfb-onf,7788661.56
atssc-scdata,7433451.03
opc-cpvp,6560308.07
feddevontario,6169477.39
iaac-aeic,5383233.86
chrc-ccdp,5217950.96
cihr-irsc,5132316.59
ocol-clo,4945807.61
sshrc-crsh,4442118.37
psc-cfp,4371714.97
pmprb-cepmb,4171233.86
tsb-bst,4139474.09
wd-deo,3150826.18
csps-efpc,3127415.1
psic-ispc,2917949.01
acoa-apeca,2877662.52
cta-otc,2606220.59
osgg-bsgg,2605269.01
cpc-cpp,2413362.41
iic-iac,2279166.71
mpcc-cppm,2191006.09
fintrac-canafe,2083428.69
ijc-cmi,2076613.71
pbc-clcc,1951179.48
fja-cmf,1915350.21
ced-dec,1897111.79
cgc-ccg,1674636.88
swc-cfc,1562041.24
ccohs-cchst,1532078.45
ocl-cal,1441661.68
cannor,1117005.27
polar-polaire,746665.87
nsira-ossnr,698556.25
nbc-ccbn,625960.54
sirc-csars,584419.82
casdo-ocena,528189.07
fpcc-cpac,519879.62
cics-scic,499385.93
mgerc-ceegm,446008.16
erc-cee,268769.04
vrab-tacra,251237.24
ocsec-bccst,223099.55
oci-bec,218777.48
oto-boc,22107.6
pptc,11175.66
cra-arc,NA
ppsc-sppc,NA
