d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1957060.67
1_facilities_and_construction,2018-2019,1863563.82
1_facilities_and_construction,2019-2020,1967096.01
1_facilities_and_construction,2020-2021,486.70
10_office_management,2017-2018,15048.10
10_office_management,2018-2019,25428.50
10_office_management,2020-2021,40923.39
2_professional_services,2017-2018,11967047.04
2_professional_services,2018-2019,9852525.73
2_professional_services,2019-2020,8793040.79
2_professional_services,2020-2021,9808817.67
3_information_technology,2017-2018,4968399.09
3_information_technology,2018-2019,7170961.67
3_information_technology,2019-2020,11360231.50
3_information_technology,2020-2021,16145181.85
5_transportation_and_logistics,2020-2021,0.00
6_industrial_products_and_services,2017-2018,159835.42
6_industrial_products_and_services,2018-2019,23000.00
9_human_capital,2019-2020,34207.30
9_human_capital,2020-2021,59903.59
NA,2019-2020,23255.40
