d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,895027.34,922952.28
it_consulting_services,2018-2019,515973.59,525928.67
it_consulting_services,2019-2020,65685.71,65342.26
it_consulting_services,2020-2021,75956.67,72261.81
it_consulting_services,2021-2022,316154.98,292718.57
it_consulting_services,2022-2023,99085.93,88597.30
it_other,2017-2018,23311.19,24074.95
it_other,2019-2020,32382.00,31850.40
it_other,2020-2021,27769.75,26385.51
it_other,2021-2022,70760.91,64721.51
it_other,2022-2023,36304.41,32546.90
it_software_licensing,2018-2019,9764.49,9890.79
it_software_licensing,2019-2020,181089.09,179025.84
it_software_licensing,2020-2021,237733.23,226398.27
it_software_licensing,2021-2022,72062.34,68099.13
