category,total,percentage
3_information_technology,3394148299.19401,0.9976303576962516
1_facilities_and_construction,2961061.224489796,8.703345605876258e-4
NA,2668440.513645457,7.843255595966286e-4
2_professional_services,1888427.0387124508,5.550588766440605e-4
5_transportation_and_logistics,367699.7253235429,1.0807671797559593e-4
6_industrial_products_and_services,137424.94999999998,4.039284378276745e-5
9_human_capital,38968.05,1.1453745161770635e-5
