owner_org,d_fiscal_year,total
aafc-aac,2017-2018,522911.34
aafc-aac,2018-2019,584246.98
aafc-aac,2019-2020,365919.22
aafc-aac,2020-2021,386579.02
aandc-aadnc,2017-2018,34884.16
aandc-aadnc,2018-2019,506343.81
aandc-aadnc,2019-2020,1427104.81
acoa-apeca,2017-2018,115260.00
acoa-apeca,2018-2019,119780.00
acoa-apeca,2019-2020,1042500.10
acoa-apeca,2020-2021,188961.02
atssc-scdata,2017-2018,268578.14
atssc-scdata,2018-2019,205154.39
atssc-scdata,2019-2020,180020.01
atssc-scdata,2020-2021,268164.61
cas-satj,2018-2019,28704.66
cas-satj,2020-2021,43528.19
cbsa-asfc,2017-2018,544904.46
cbsa-asfc,2018-2019,445924.17
cbsa-asfc,2019-2020,678501.39
cbsa-asfc,2020-2021,1974691.87
ced-dec,2017-2018,13482.56
ced-dec,2018-2019,109175.52
ced-dec,2019-2020,204841.71
ced-dec,2020-2021,135987.80
cer-rec,2017-2018,227658.61
cer-rec,2018-2019,122265.52
cer-rec,2019-2020,90836.65
cer-rec,2020-2021,176559.15
cfia-acia,2017-2018,540768.67
cfia-acia,2018-2019,636857.33
cfia-acia,2019-2020,715853.97
cfia-acia,2020-2021,844960.40
cgc-ccg,2017-2018,69066.25
cgc-ccg,2018-2019,46307.37
cgc-ccg,2019-2020,44446.85
cgc-ccg,2020-2021,132798.59
chrc-ccdp,2018-2019,78286.22
chrc-ccdp,2019-2020,176322.58
chrc-ccdp,2020-2021,216279.11
cic,2017-2018,2006965.35
cic,2018-2019,1851444.82
cic,2019-2020,2536654.14
cic,2020-2021,2868103.21
cihr-irsc,2017-2018,136490.94
cihr-irsc,2018-2019,193190.00
cihr-irsc,2019-2020,262389.38
cihr-irsc,2020-2021,515342.52
cnsc-ccsn,2017-2018,349113.38
cnsc-ccsn,2018-2019,289283.41
cnsc-ccsn,2019-2020,494524.79
cnsc-ccsn,2020-2021,586198.68
cra-arc,2017-2018,770377.96
cra-arc,2018-2019,774335.14
cra-arc,2019-2020,829999.80
cra-arc,2020-2021,1246289.79
crtc,2017-2018,39016.84
crtc,2018-2019,242574.48
csa-asc,2017-2018,11206.43
csa-asc,2018-2019,23696.03
csa-asc,2019-2020,10809.07
csa-asc,2020-2021,29150.02
csc-scc,2017-2018,1483021.20
csc-scc,2018-2019,908678.00
csc-scc,2019-2020,514442.37
csc-scc,2020-2021,492807.52
csps-efpc,2018-2019,76872.91
csps-efpc,2019-2020,72508.96
csps-efpc,2020-2021,72310.85
cta-otc,2017-2018,126647.21
cta-otc,2018-2019,68067.45
cta-otc,2019-2020,97956.84
cta-otc,2020-2021,97689.20
dfatd-maecd,2017-2018,992893.27
dfatd-maecd,2018-2019,2786148.23
dfatd-maecd,2019-2020,1324395.74
dfatd-maecd,2020-2021,5008853.76
dfo-mpo,2017-2018,777485.57
dfo-mpo,2018-2019,621906.16
dfo-mpo,2019-2020,1927673.41
dfo-mpo,2020-2021,2452222.98
dnd-mdn,2017-2018,6609809.11
dnd-mdn,2018-2019,6633143.34
dnd-mdn,2019-2020,694538.99
dnd-mdn,2020-2021,5053703.80
ec,2017-2018,667875.72
ec,2018-2019,506414.67
ec,2019-2020,3041689.35
ec,2020-2021,3398817.17
elections,2017-2018,1254583.95
elections,2018-2019,1371341.06
elections,2019-2020,2942297.80
elections,2020-2021,1921461.03
esdc-edsc,2017-2018,6324357.36
esdc-edsc,2018-2019,6731772.74
esdc-edsc,2019-2020,4210839.02
esdc-edsc,2020-2021,13837755.91
fcac-acfc,2017-2018,86489.86
fcac-acfc,2018-2019,164816.08
fcac-acfc,2019-2020,250162.81
fcac-acfc,2020-2021,787988.15
fin,2017-2018,214786.79
fin,2018-2019,209750.54
fin,2019-2020,348797.45
fin,2020-2021,356470.62
fintrac-canafe,2017-2018,102530.87
fintrac-canafe,2018-2019,105496.16
fja-cmf,2019-2020,50586.73
fja-cmf,2020-2021,79770.32
hc-sc,2017-2018,19021.66
hc-sc,2018-2019,1466094.43
hc-sc,2019-2020,910071.15
hc-sc,2020-2021,3753913.09
iaac-aeic,2020-2021,48307.50
ic,2017-2018,909683.77
ic,2018-2019,40074.12
ic,2019-2020,449352.71
ic,2020-2021,633482.52
ijc-cmi,2018-2019,40628.05
ijc-cmi,2019-2020,8828.10
ijc-cmi,2020-2021,8828.10
infc,2017-2018,88592.72
infc,2018-2019,88592.72
infc,2019-2020,684459.26
infc,2020-2021,851540.97
irb-cisr,2019-2020,277569.74
irb-cisr,2020-2021,276811.35
isc-sac,2019-2020,1958738.29
isc-sac,2020-2021,2473813.97
jus,2017-2018,128332.07
jus,2018-2019,137262.73
jus,2019-2020,781160.55
jus,2020-2021,840481.65
lac-bac,2020-2021,22650.58
mgerc-ceegm,2017-2018,10729.19
mgerc-ceegm,2018-2019,11069.60
mgerc-ceegm,2019-2020,22895.64
mgerc-ceegm,2020-2021,11424.34
nfb-onf,2018-2019,134486.80
nfb-onf,2019-2020,7859.15
nfb-onf,2020-2021,146737.93
nrc-cnrc,2017-2018,419524.54
nrc-cnrc,2018-2019,231625.26
nrc-cnrc,2019-2020,261971.89
nrc-cnrc,2020-2021,570572.99
nrcan-rncan,2017-2018,667997.64
nrcan-rncan,2018-2019,491769.94
nrcan-rncan,2019-2020,416278.15
nrcan-rncan,2020-2021,689147.35
nserc-crsng,2018-2019,82348.75
nserc-crsng,2019-2020,335412.66
nserc-crsng,2020-2021,319592.01
oag-bvg,2017-2018,2203340.40
oag-bvg,2019-2020,62150.00
oag-bvg,2020-2021,1572319.40
ocl-cal,2019-2020,10019.57
ocl-cal,2020-2021,12280.32
ocol-clo,2017-2018,89818.59
ocol-clo,2019-2020,110404.02
ocol-clo,2020-2021,110102.37
oic-ci,2018-2019,83734.72
oic-ci,2019-2020,120871.96
oic-ci,2020-2021,120541.71
opc-cpvp,2018-2019,16008.68
opc-cpvp,2019-2020,189268.92
opc-cpvp,2020-2021,334774.19
osfi-bsif,2017-2018,747105.52
osfi-bsif,2018-2019,799492.79
osfi-bsif,2019-2020,385098.18
osfi-bsif,2020-2021,1471976.16
osgg-bsgg,2018-2019,29583.63
osgg-bsgg,2019-2020,77231.17
osgg-bsgg,2020-2021,77020.15
pc,2017-2018,505826.54
pc,2018-2019,165249.59
pc,2019-2020,213801.25
pc,2020-2021,215106.58
pch,2017-2018,415259.49
pch,2018-2019,415259.49
pch,2019-2020,180645.81
pch,2020-2021,314272.41
pco-bcp,2017-2018,2978509.03
pco-bcp,2018-2019,256215.17
pco-bcp,2019-2020,262287.88
pco-bcp,2020-2021,728059.36
phac-aspc,2017-2018,4047.19
phac-aspc,2018-2019,104596.08
phac-aspc,2019-2020,210000.00
phac-aspc,2020-2021,1852244.78
ps-sp,2017-2018,327341.69
ps-sp,2018-2019,437915.64
ps-sp,2019-2020,849336.92
ps-sp,2020-2021,1135949.28
psc-cfp,2017-2018,58637.25
psc-cfp,2018-2019,102916.83
pwgsc-tpsgc,2017-2018,973620.09
pwgsc-tpsgc,2018-2019,702401.90
pwgsc-tpsgc,2019-2020,1416940.19
pwgsc-tpsgc,2020-2021,1932557.74
rcmp-grc,2017-2018,2019120.03
rcmp-grc,2018-2019,1531597.77
rcmp-grc,2019-2020,1248522.38
rcmp-grc,2020-2021,1718244.11
sirc-csars,2017-2018,18957.02
ssc-spc,2017-2018,97871568.83
ssc-spc,2018-2019,104395361.52
ssc-spc,2019-2020,162894497.16
ssc-spc,2020-2021,174490675.86
statcan,2017-2018,3889658.74
statcan,2018-2019,661505.16
statcan,2019-2020,1270661.94
statcan,2020-2021,6565952.15
tbs-sct,2017-2018,120862.34
tbs-sct,2018-2019,1588081.47
tbs-sct,2019-2020,2901068.97
tbs-sct,2020-2021,6680433.55
tc,2017-2018,1417923.30
tc,2018-2019,654431.67
tc,2019-2020,2571355.63
tc,2020-2021,2550773.98
tsb-bst,2017-2018,87979.41
tsb-bst,2018-2019,87509.33
tsb-bst,2019-2020,11914.90
tsb-bst,2020-2021,50569.05
vac-acc,2018-2019,31025.83
vac-acc,2019-2020,236615.85
vac-acc,2020-2021,7154206.52
wage,2019-2020,28085.93
wage,2020-2021,49769.70
wd-deo,2017-2018,67796.30
wd-deo,2019-2020,176315.63
wd-deo,2020-2021,35234.67
