owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,65072.17,66765.72
aafc-aac,2018-2019,80270.87,81257.42
aafc-aac,2019-2020,207576.27,204404.78
aafc-aac,2020-2021,11399.11,10733.61
aafc-aac,2021-2022,120921.01,22574.41
aandc-aadnc,2017-2018,173930.00,178720.55
aandc-aadnc,2021-2022,47696.06,6545.56
cannor,2021-2022,39874.88,26205.56
cbsa-asfc,2017-2018,1304809.53,1338516.20
cbsa-asfc,2018-2019,1259870.28,1279463.13
cbsa-asfc,2019-2020,1263321.98,1252660.84
cbsa-asfc,2020-2021,1259870.28,1197721.23
cbsa-asfc,2021-2022,1532611.46,1139615.30
cer-rec,2017-2018,684580.36,702311.46
cer-rec,2018-2019,694539.87,705451.54
cer-rec,2019-2020,391148.60,390797.62
cer-rec,2020-2021,11534.50,10905.93
cer-rec,2021-2022,80726.31,63250.32
cfia-acia,2018-2019,624897.00,631099.68
cfia-acia,2020-2021,10447.50,9883.70
cnsc-ccsn,2018-2019,98760.64,100039.19
cnsc-ccsn,2019-2020,168124.12,166390.36
cnsc-ccsn,2021-2022,279255.63,143345.79
csa-asc,2017-2018,943601.39,967952.49
csa-asc,2018-2019,1268234.86,1287957.78
csa-asc,2019-2020,1264999.97,1254372.08
csa-asc,2020-2021,985521.89,936902.59
csa-asc,2021-2022,853623.15,713176.73
dfatd-maecd,2017-2018,22589365.34,23174781.78
dfatd-maecd,2018-2019,22592908.49,22943006.67
dfatd-maecd,2019-2020,22529062.92,22338258.80
dfatd-maecd,2020-2021,28599742.36,27180035.31
dfatd-maecd,2021-2022,28500756.84,21900407.83
dfo-mpo,2018-2019,505380.36,510488.46
dfo-mpo,2019-2020,5991820.02,5871864.40
dfo-mpo,2020-2021,4912566.48,4666274.46
dfo-mpo,2021-2022,186714.00,140229.65
dnd-mdn,2017-2018,467728.50,479509.77
dnd-mdn,2018-2019,4183026.06,4244224.68
dnd-mdn,2019-2020,2688297.97,2639463.39
dnd-mdn,2020-2021,605354.82,577052.69
dnd-mdn,2021-2022,254198.47,102634.37
ec,2017-2018,6071.08,6228.40
ec,2018-2019,24433.58,24748.48
ec,2019-2020,161474.62,160771.22
esdc-edsc,2019-2020,271538.54,268358.10
esdc-edsc,2020-2021,73180.39,69080.82
hc-sc,2017-2018,156401.24,160620.60
hc-sc,2018-2019,152291.66,154041.43
hc-sc,2019-2020,132409.57,130672.15
hc-sc,2020-2021,136527.47,129101.53
hc-sc,2021-2022,340821.33,261203.57
isc-sac,2018-2019,10163.90,10309.87
isc-sac,2019-2020,12156.82,12054.23
isc-sac,2020-2021,72267.08,68693.73
isc-sac,2021-2022,111300.00,86911.31
jus,2017-2018,110504.05,113108.86
jus,2019-2020,34422.38,34192.36
nrcan-rncan,2017-2018,6911913.79,7078529.05
nrcan-rncan,2018-2019,6985297.32,7088752.06
nrcan-rncan,2019-2020,4907661.26,4839046.06
nrcan-rncan,2020-2021,4858885.57,4605582.64
nrcan-rncan,2021-2022,5199821.77,3615136.78
oag-bvg,2019-2020,18645.00,18193.78
pc,2017-2018,4537318.04,4659263.93
pc,2018-2019,209875.47,213467.36
pc,2019-2020,315644.47,313524.45
pc,2020-2021,60886.01,57524.22
pc,2021-2022,327940.17,269500.40
phac-aspc,2017-2018,370755.60,379726.00
phac-aspc,2018-2019,319158.81,322577.91
phac-aspc,2019-2020,262970.36,259248.80
phac-aspc,2020-2021,128954.81,122758.58
phac-aspc,2021-2022,34030.90,0.00
ppsc-sppc,2017-2018,13673.00,13995.30
ppsc-sppc,2020-2021,84326.25,79403.12
ppsc-sppc,2021-2022,236573.88,0.00
pwgsc-tpsgc,2017-2018,5469416.73,5610974.60
pwgsc-tpsgc,2018-2019,5812153.59,5904113.86
pwgsc-tpsgc,2019-2020,4766930.52,4730102.61
pwgsc-tpsgc,2020-2021,9138489.01,8689703.43
pwgsc-tpsgc,2021-2022,10041648.80,7868864.35
rcmp-grc,2017-2018,295544.76,302586.14
rcmp-grc,2018-2019,586377.87,596460.89
rcmp-grc,2019-2020,432417.50,427961.13
ssc-spc,2017-2018,654286.17,671276.99
ssc-spc,2018-2019,405049.89,412274.33
ssc-spc,2020-2021,173448.06,165157.60
ssc-spc,2021-2022,64705.28,45476.12
tbs-sct,2021-2022,24998.99,13791.67
tc,2020-2021,83243.72,79329.90
tc,2021-2022,179833.58,89659.47
