owner_org,overall_total
dfatd-maecd,146615915.54
cbsa-asfc,61152645.19
pwgsc-tpsgc,47470726.51
nrcan-rncan,31174396.77
dnd-mdn,15008575.82
dfo-mpo,11379520.48
ssc-spc,10465063.69
pc,5610146.90
csa-asc,3389836.23
tc,2096267.19
rcmp-grc,1955208.25
cer-rec,1817594.45
cfia-acia,1631924.26
phac-aspc,1209073.25
hc-sc,1164470.16
aandc-aadnc,979536.94
cnsc-ccsn,537808.90
aafc-aac,511804.74
esdc-edsc,363310.77
ppsc-sppc,250246.88
isc-sac,247086.66
ced-dec,177501.81
jus,121671.03
ec,108651.35
tbs-sct,62007.26
pco-bcp,46692.42
cannor,39874.88
polar-polaire,33126.24
oag-bvg,18645.00
