d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1363311.17
1_facilities_and_construction,2018-2019,880102.98
1_facilities_and_construction,2019-2020,683078.20
1_facilities_and_construction,2020-2021,1738086.08
10_office_management,2017-2018,174125.91
10_office_management,2018-2019,454782.20
10_office_management,2019-2020,840306.89
10_office_management,2020-2021,140051.15
