d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1090554.77,1123894.25
2018-2019,1388838.46,1412652.27
2019-2020,1268213.38,1256088.85
2020-2021,1941493.12,1849514.46
2021-2022,1075087.51,1008518.26
