d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,14735554.52,15196531.79
1_facilities_and_construction,2018-2019,4300609.58,4399057.83
1_facilities_and_construction,2020-2021,808046.10,764854.34
1_facilities_and_construction,2021-2022,6302795.08,5832132.49
1_facilities_and_construction,2022-2023,9269279.49,8270687.84
10_office_management,2022-2023,4778542.10,4247013.97
2_professional_services,2021-2022,291916.00,274533.32
5_transportation_and_logistics,2017-2018,1827725.75,1880327.61
5_transportation_and_logistics,2018-2019,464676.04,477081.42
5_transportation_and_logistics,2022-2023,1328869.57,1197858.28
6_industrial_products_and_services,2022-2023,69059.20,61782.32
