d_fiscal_year,total,total_constant_2019_dollars
2017-2018,16563280.27,17076859.40
2018-2019,4765285.62,4876139.25
2020-2021,808046.10,764854.34
2021-2022,6594711.08,6106665.81
2022-2023,15445750.36,13777342.40
