d_vendor_name,d_fiscal_year,total
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,12617.87
CANON,2017-2018,3824.58
CANON,2018-2019,3824.58
CANON,2019-2020,4576.29
CANON,2020-2021,12551.90
CDW CANADA,2020-2021,8135.81
COSSETTE COMMUNICATIONS,2020-2021,113000.00
DECISIVE TECHNOLOGIES,2020-2021,31466.89
IBM CANADA,2017-2018,11809.17
IBM CANADA,2018-2019,16023.59
IBM CANADA,2019-2020,4214.42
INFO TECH RESEARCH GROUP,2017-2018,12142.08
INFO TECH RESEARCH GROUP,2018-2019,8762.92
INFO TECH RESEARCH GROUP,2020-2021,16049.70
KPMG,2017-2018,15855.45
KPMG,2018-2019,123132.78
KPMG,2019-2020,123470.13
KPMG,2020-2021,82684.10
NOVA NETWORKS,2020-2021,24267.88
ONX ENTERPRISE SOLUTIONS,2017-2018,24308.59
ONX ENTERPRISE SOLUTIONS,2018-2019,24983.82
SCALAR DECISIONS,2019-2020,48999.06
SOFTCHOICE,2020-2021,2074.44
TANKATEK,2018-2019,21941.78
TELECOM COMPUTER SERVICES,2019-2020,36851.11
TELECOM COMPUTER SERVICES,2020-2021,23784.24
