d_vendor_name,overall_total
KPMG,411919.97
COSSETTE COMMUNICATIONS,157409.00
SENSUS COMMUNICATION SOLUTIONS,125040.16
COMBAT NETWORKS,95377.57
CDW CANADA,91812.57
TELECOM COMPUTER SERVICES,60635.35
INFO TECH RESEARCH GROUP,51615.14
ONX ENTERPRISE SOLUTIONS,49292.41
CANON,36711.04
ADVANCED CHIPPEWA TECHNOLOGIES,34404.27
IBM CANADA,32047.18
DECISIVE GROUP,31466.89
NOVA NETWORKS,24267.88
TANKATEK,21941.78
CONFERENCE BOARD OF CANADA,18503.75
NORTHERN MICRO,12470.09
SOFTCHOICE,7467.27
AMAZON,3892.46
