d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
DECISIVE TECHNOLOGIES,2020-2021,31466.89,29837.35
INFO TECH RESEARCH GROUP,2017-2018,12142.08,12442.81
INFO TECH RESEARCH GROUP,2018-2019,8762.92,8940.16
INFO TECH RESEARCH GROUP,2020-2021,16049.70,15265.20
INFO TECH RESEARCH GROUP,2021-2022,14660.44,9134.98
NOVA NETWORKS,2020-2021,24267.88,23297.99
ONX ENTERPRISE SOLUTIONS,2017-2018,24308.59,24892.88
ONX ENTERPRISE SOLUTIONS,2018-2019,24983.82,25478.20
SCALAR DECISIONS,2019-2020,48999.06,48585.56
TANKATEK,2018-2019,21941.78,22250.32
TELECOM COMPUTER SERVICES,2019-2020,36851.11,35959.29
TELECOM COMPUTER SERVICES,2020-2021,23784.24,22502.76
