d_vendor_name,overall_total
APPLIED ELECTONICS,3669725.1469027502
SOFTCHOICE,3012554.4899492688
BELL CANADA,964278.7987461598
TEKNION,796155.34
ROHDE SCHWARZ CANADA,752735.9325031133
AMAZON,735095.727380137
ORACLE CANADA,357702.8687012987
DELL COMPUTER,332038.22369764576
MICROSOFT CANADA,289083.874212633
CISION CANADA,259646.4275607509
IBM CANADA,212188.6759322034
SOLOTECH,179264.88999999998
STONEWORKS TECHNOLOGIES,164389.18186199342
CDW CANADA,116448.09
SOFTSIM TECHNOLOGIES,100800
IRON MOUNTAIN,100087.38
SHI CANADA,99887.84
DELOITTE AND TOUCHE,72178.00088383838
SHARP ELECTRONICS,67013.72
COSSETTE COMMUNICATIONS,55025
ADVANCED BUSINESS INTERIORS,51714.26
TELUS CANADA,48910.27
RANDSTAD,46110.43
ECLIPSYS SOLUTIONS,36586.3
PALADIN TECHNOLOGIES,34172.52
FREEBALANCE,23539.77
XEROX,17633.495839120373
ONX ENTERPRISE SOLUTIONS,17181.87
MISHKUMI TECHNOLOGIES,15872.26
ENTRUST,10993.18
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,10208.52
PITNEY BOWES,4939.848165819319
