d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,NA
1_facilities_and_construction,2019-2020,45927.61285609568
1_facilities_and_construction,2020-2021,145298.29683898715
10_office_management,2017-2018,621744.6369483569
10_office_management,2018-2019,238940.10444961136
10_office_management,2019-2020,1426835.1636522564
10_office_management,2020-2021,569623.3979712013
2_professional_services,2017-2018,981919.7682415313
2_professional_services,2018-2019,1252394.5535732766
2_professional_services,2019-2020,2252846.626404597
2_professional_services,2020-2021,3262109.8526431783
3_information_technology,2017-2018,7799058.747821982
3_information_technology,2018-2019,5592100.000505015
3_information_technology,2019-2020,6531554.91495985
3_information_technology,2020-2021,8303809.959604792
5_transportation_and_logistics,2019-2020,28559.79
6_industrial_products_and_services,2017-2018,72860.48720547945
6_industrial_products_and_services,2018-2019,47111.685410958904
6_industrial_products_and_services,2019-2020,80768.40738356164
9_human_capital,2017-2018,62935.439999999995
9_human_capital,2018-2019,43690.5
9_human_capital,2019-2020,100527.57045138889
9_human_capital,2020-2021,22300.05879994801
