d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,4516.00,4558.18
1_facilities_and_construction,2019-2020,66245.27,65434.41
1_facilities_and_construction,2020-2021,245455.78,233752.62
1_facilities_and_construction,2021-2022,245455.78,228206.54
1_facilities_and_construction,2022-2023,41289.11,37002.91
2_professional_services,2017-2018,284517.70,292744.31
2_professional_services,2018-2019,910241.13,927580.02
2_professional_services,2019-2020,991578.34,982703.76
2_professional_services,2020-2021,1438136.58,1369760.12
2_professional_services,2021-2022,1572752.86,1462228.69
2_professional_services,2022-2023,1572752.86,1407305.85
6_industrial_products_and_services,2017-2018,48184.75,49566.89
6_industrial_products_and_services,2018-2019,191210.47,194657.60
6_industrial_products_and_services,2019-2020,400681.62,397485.39
6_industrial_products_and_services,2020-2021,399586.86,380534.83
6_industrial_products_and_services,2021-2022,399586.86,371506.16
6_industrial_products_and_services,2022-2023,399586.86,357552.00
