owner_org,d_fiscal_year,total,total_constant_2019_dollars
pwgsc-tpsgc,2017-2018,877065.53,901234.91
pwgsc-tpsgc,2018-2019,644800.02,650299.05
pwgsc-tpsgc,2020-2021,3201085.48,3056076.73
pwgsc-tpsgc,2021-2022,17300039.68,15882390.39
