owner_org,overall_total
ssc-spc,3291463665.00
rcmp-grc,370939104.54
pwgsc-tpsgc,175385208.06
dfo-mpo,81578227.07
cbsa-asfc,71171382.84
dfatd-maecd,43296035.85
csc-scc,39617274.65
esdc-edsc,29007174.42
tc,23105464.84
ps-sp,19856194.27
aafc-aac,19838493.62
elections,18873274.90
pc,18189395.85
hc-sc,16942122.53
csa-asc,15275354.23
ic,12881038.45
nfb-onf,10106302.47
cas-satj,9325297.25
pco-bcp,8513072.06
ec,8012359.36
cra-arc,7592409.80
nrcan-rncan,7578890.84
cer-rec,6982582.62
pch,5986365.18
jus,5780305.86
cic,5650605.91
osfi-bsif,4308784.84
nrc-cnrc,3506842.96
csps-efpc,2955105.71
vac-acc,2868056.44
crtc,2862059.12
isc-sac,2313620.45
ppsc-sppc,2245582.72
phac-aspc,2120529.60
tsb-bst,1744488.80
statcan,1703676.42
aandc-aadnc,1587614.90
osgg-bsgg,1524948.63
wage,1521531.42
cfia-acia,1518461.66
ced-dec,1442989.17
lac-bac,1351677.99
atssc-scdata,1299347.59
cgc-ccg,1246177.87
oag-bvg,1089301.90
sirc-csars,1009791.46
pbc-clcc,998218.65
ocol-clo,980769.30
fin,888503.33
cnsc-ccsn,850521.07
irb-cisr,832095.65
iaac-aeic,824482.12
tbs-sct,819434.24
cta-otc,743089.40
nserc-crsng,588251.46
infc,556147.38
ocl-cal,550350.07
psc-cfp,522349.93
chrc-ccdp,505036.22
ijc-cmi,488668.43
fja-cmf,469779.60
wd-deo,365951.55
fcac-acfc,353950.09
psic-ispc,353454.61
vrab-tacra,332649.37
swc-cfc,331671.20
cics-scic,300143.41
opc-cpvp,252024.37
pmprb-cepmb,249829.46
cihr-irsc,239608.82
acoa-apeca,226739.66
fintrac-canafe,223531.71
ccohs-cchst,217671.24
feddevontario,199325.22
nbc-ccbn,182272.00
nsira-ossnr,181185.65
oci-bec,131291.22
sshrc-crsh,100266.06
oic-ci,73170.67
mgerc-ceegm,59175.20
cpc-cpp,41960.23
cannor,36993.71
fpcc-cpac,36507.00
casdo-ocena,22185.80
polar-polaire,19875.00
pacifican,14887.69
prairiescan,13698.47
