d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,11927.15,12250.10
it_consulting_services,2018-2019,52797.42,53411.56
it_consulting_services,2019-2020,48271.34,47550.48
it_devices_equipment,2017-2018,871689.29,893900.72
it_devices_equipment,2018-2019,559087.48,567459.91
it_devices_equipment,2019-2020,945706.07,939358.49
it_devices_equipment,2020-2021,142301.71,135070.01
it_devices_equipment,2021-2022,48832.95,45318.07
it_other,2017-2018,597259.23,612724.55
it_other,2018-2019,603438.75,612851.97
it_other,2019-2020,593461.75,588453.54
it_other,2020-2021,708980.19,672946.02
it_other,2021-2022,1355341.56,1258360.09
it_software_licensing,2017-2018,251284.55,257671.38
it_software_licensing,2018-2019,356996.32,362734.35
it_software_licensing,2019-2020,387534.43,385082.70
it_software_licensing,2020-2021,4422.77,4175.01
it_software_licensing,2021-2022,14153.25,13108.30
