d_most_recent_category,d_fiscal_year,total
11_defence,2017-2018,1404437.37
11_defence,2018-2019,876562.63
2_professional_services,2018-2019,13247.42
3_information_technology,2017-2018,1732160.23
3_information_technology,2018-2019,1559072.56
3_information_technology,2019-2020,1974973.58
3_information_technology,2020-2021,855704.67
6_industrial_products_and_services,2017-2018,115412.97
6_industrial_products_and_services,2018-2019,105424.30
6_industrial_products_and_services,2019-2020,34500.00
6_industrial_products_and_services,2020-2021,73290.00
8_security_and_protection,2018-2019,5318.40
8_security_and_protection,2019-2020,10874.50
