d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1827900.7639185751
1_facilities_and_construction,2018-2019,493196.1226214244
1_facilities_and_construction,2019-2020,376900.5551648352
1_facilities_and_construction,2020-2021,145664.75
10_office_management,2018-2019,688242.8
10_office_management,2020-2021,788701.91
6_industrial_products_and_services,2017-2018,853070.0751966455
6_industrial_products_and_services,2018-2019,5906892.729992377
6_industrial_products_and_services,2019-2020,13956705.64517917
6_industrial_products_and_services,2020-2021,11534093.801408816
