d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,142942.52,147323.60
1_facilities_and_construction,2019-2020,524747.34,514072.06
1_facilities_and_construction,2020-2021,380865.00,358925.37
11_defence,2019-2020,14994969.88,14862907.32
11_defence,2020-2021,15956746.38,15212754.54
11_defence,2021-2022,15956746.38,14931701.61
5_transportation_and_logistics,2017-2018,1315835.12,1352663.59
5_transportation_and_logistics,2018-2019,2016002.48,2045236.36
5_transportation_and_logistics,2021-2022,2284089.00,2105608.08
6_industrial_products_and_services,2020-2021,1393554.87,1331729.28
6_industrial_products_and_services,2021-2022,2410651.78,2255794.02
