d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2020-2021,39217.60,37322.27
1_facilities_and_construction,2021-2022,25642.28,24172.84
11_defence,2017-2018,4474041.61,4593934.59
11_defence,2018-2019,325131.21,332095.43
11_defence,2019-2020,65370.50,64253.49
2_professional_services,2017-2018,2419647.09,2481452.06
2_professional_services,2018-2019,3494074.12,3547104.34
2_professional_services,2019-2020,4216710.68,4174865.35
2_professional_services,2020-2021,6943907.40,6599923.59
2_professional_services,2021-2022,7892347.57,7320706.18
3_information_technology,2017-2018,30119313.86,30888813.67
3_information_technology,2018-2019,27993965.55,28427703.84
3_information_technology,2019-2020,24612683.11,24408433.81
3_information_technology,2020-2021,16633603.50,15812713.42
3_information_technology,2021-2022,15012678.51,13936371.47
9_human_capital,2017-2018,13401.45,13748.73
9_human_capital,2018-2019,37966.52,38640.21
9_human_capital,2019-2020,51104.80,50199.54
9_human_capital,2020-2021,39190.54,37427.04
9_human_capital,2021-2022,10096.98,9457.91
