d_fiscal_year,total,total_constant_2019_dollars
2017-2018,37041958.42,38166338.22
2018-2019,31934834.83,32517257.66
2019-2020,28941037.85,28704923.54
2020-2021,23555191.80,22453390.73
2021-2022,23520094.22,21990374.02
