d_fiscal_year,total,total_constant_2019_dollars
2017-2018,451433.54,459621.81
2018-2019,2529022.16,2565786.88
2019-2020,3977120.16,3968973.97
2020-2021,3966253.71,3882913.74
2021-2022,3966253.71,3012926.63
