d_fiscal_year,total,total_constant_2019_dollars
2017-2018,430199.76,442485.61
2018-2019,5234097.13,5334398.88
2019-2020,5248437.13,5206570.46
2020-2021,5234097.13,4984538.96
2021-2022,5234097.13,4866274.42
2022-2023,2474446.20,2215343.41
