d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1729723.04,1779410.58
2018-2019,5656335.46,5764728.62
2019-2020,5711082.15,5665004.60
2020-2021,5792623.54,5512916.97
2021-2022,6730158.73,6257201.28
2022-2023,6730158.73,6022174.25
