d_most_recent_category,total,percentage
9_human_capital,13643931.84,0.4815
10_office_management,11521625.05,0.4066
2_professional_services,2163340.63,0.0763
3_information_technology,984726.49,0.0348
1_facilities_and_construction,22851.00,8e-4
