owner_org,d_fiscal_year,total
aafc-aac,2017-2018,211639.6491780822
aafc-aac,2018-2019,930716.7524475844
aafc-aac,2019-2020,941104.9887754275
aafc-aac,2020-2021,293623.8340929809
cihr-irsc,2017-2018,474780.4150921871
cihr-irsc,2018-2019,487147.53974972136
cihr-irsc,2019-2020,17474.63436297627
cihr-irsc,2020-2021,23859.024794031106
cnsc-ccsn,2017-2018,215403.9667766887
cnsc-ccsn,2018-2019,215403.9667766887
cnsc-ccsn,2019-2020,191871.02771680892
cnsc-ccsn,2020-2021,119873.68142368241
csa-asc,2017-2018,94631.05738095238
csa-asc,2018-2019,82970.26452380951
csa-asc,2019-2020,107639.80257872438
csa-asc,2020-2021,87935.87211989904
dfatd-maecd,2017-2018,15436.359999999999
dfatd-maecd,2018-2019,17424.4
dfo-mpo,2017-2018,1055595.0581402832
dfo-mpo,2018-2019,290569.81266409263
dfo-mpo,2019-2020,102047.82126696833
dfo-mpo,2020-2021,483733.1787330317
dnd-mdn,2017-2018,231333.463085736
dnd-mdn,2018-2019,479518.94977365714
dnd-mdn,2019-2020,623274.7870613029
dnd-mdn,2020-2021,305561.0670371662
ec,2017-2018,445601.7996168947
ec,2018-2019,323817.64777150715
ec,2019-2020,429073.5934064743
ec,2020-2021,411444.0074516908
hc-sc,2017-2018,11339.54893150685
hc-sc,2018-2019,8183.731068493151
hc-sc,2020-2021,296709.1076712329
ic,2017-2018,27044.79126207051
ic,2018-2019,80219.62657197395
ic,2019-2020,112274.36258701998
ic,2020-2021,95867.27245564788
nrc-cnrc,2017-2018,1485926.03
nrc-cnrc,2018-2019,734456.743150685
nrc-cnrc,2019-2020,2175990.1668493147
nrc-cnrc,2020-2021,36547.96
nrcan-rncan,2019-2020,407496.7648614073
nrcan-rncan,2020-2021,1479957.7999737577
ps-sp,2017-2018,514.1393684210526
ps-sp,2018-2019,15766.940631578947
rcmp-grc,2020-2021,15439.57
statcan,2017-2018,27605.8798630137
statcan,2018-2019,98246.24013698631
statcan,2019-2020,26157.442527322404
statcan,2020-2021,117745.27341087448
tc,2019-2020,6925.868005181347
tc,2020-2021,62680.92199481865
