d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,22851.00,23486.30
10_office_management,2017-2018,2246386.38,2310441.45
10_office_management,2018-2019,1213975.69,1229572.73
10_office_management,2019-2020,2901312.78,2858644.53
10_office_management,2020-2021,825842.21,787614.52
10_office_management,2021-2022,2397327.41,2258531.26
2_professional_services,2017-2018,244882.24,252346.60
2_professional_services,2018-2019,157441.96,159470.68
2_professional_services,2019-2020,127801.83,127512.07
2_professional_services,2020-2021,80429.55,76366.80
2_professional_services,2021-2022,351060.45,327071.82
3_information_technology,2017-2018,1577756.89,1625411.95
3_information_technology,2018-2019,3133372.18,3191947.53
3_information_technology,2019-2020,2019183.63,2000870.46
3_information_technology,2020-2021,2845678.40,2713244.43
3_information_technology,2021-2022,2994984.78,2792541.05
9_human_capital,2017-2018,1607239.49,1657496.82
9_human_capital,2018-2019,588479.30,599737.12
9_human_capital,2019-2020,890574.04,878585.93
9_human_capital,2020-2021,1725229.28,1644972.68
9_human_capital,2021-2022,451550.94,415794.06
