d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,38909640.95,39913145.00
it_consulting_services,2018-2019,38393197.62,38983777.77
it_consulting_services,2019-2020,35902091.70,35586430.83
it_consulting_services,2020-2021,51688832.65,49160092.74
it_consulting_services,2021-2022,55239040.46,51188034.63
it_other,2017-2018,12924.38,13265.11
it_software_licensing,2017-2018,4161458.91,4269656.62
it_software_licensing,2018-2019,2652770.88,2694851.55
it_software_licensing,2019-2020,2251831.59,2233936.09
it_software_licensing,2020-2021,1785081.65,1697438.54
it_software_licensing,2021-2022,1985301.34,1842703.66
