d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,611125.05,630015.58
it_consulting_services,2018-2019,611125.05,622836.12
it_consulting_services,2019-2020,160216.84,159940.95
it_consulting_services,2020-2021,579630.62,552797.40
it_consulting_services,2021-2022,684057.29,635985.62
it_consulting_services,2022-2023,636140.75,569221.41
it_software_licensing,2017-2018,15669.85,16124.75
it_software_licensing,2018-2019,24414.05,24886.24
it_software_licensing,2019-2020,37841.42,37586.43
it_software_licensing,2020-2021,15962.15,15226.32
