d_vendor_name,overall_total
CANADIAN CORPS OF COMMISSIONAIRES,164672.46
SAMSON ASSOCIES,122631.22
EXCEL HUMAN RESOURCES,110775.88
SOFTCHOICE,98356.61
DECISIVE GROUP,61357.82
ALTIS HUMAN RESOURCES,52645.00
IPSS,28250.00
SOLOTECH,26557.06
XEROX,26367.76
NISHA TECHONOLOGIES,25710.62
PURELOGIC,24940.49
MAXSYS STAFFING AND CONSULTING,24315.00
KNOWLEDGE CIRCLE,15984.00
MISHKUMI TECHNOLOGIES,15804.00
PURESPIRIT SOLUTIONS,15291.71
TURTLE ISLAND STAFFING,13379.62
TAG HR,12611.00
KNOWLEDGE CIRCLE LEARNING SERVICES,10896.00
