d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,5232.2198275862065
1_facilities_and_construction,2020-2021,29380.92672413793
10_office_management,2017-2018,65663.83992465753
10_office_management,2018-2019,167603.5075
10_office_management,2019-2020,168062.69519178083
10_office_management,2020-2021,167603.5075
2_professional_services,2017-2018,858406.8454368023
2_professional_services,2018-2019,3645726.1288195746
2_professional_services,2019-2020,4637590.6739384215
2_professional_services,2020-2021,5755855.213548745
3_information_technology,2017-2018,28948625.26704645
3_information_technology,2018-2019,22055679.534150276
3_information_technology,2019-2020,23457795.592768196
3_information_technology,2020-2021,23329315.16511207
6_industrial_products_and_services,2018-2019,16290.08
9_human_capital,2018-2019,137963.96
9_human_capital,2019-2020,125728.31999999999
9_human_capital,2020-2021,125384.79999999999
