d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,2259754.25,2329109.12
1_facilities_and_construction,2018-2019,2297571.24,2326683.16
1_facilities_and_construction,2019-2020,2181686.04,2154281.71
1_facilities_and_construction,2020-2021,1868167.60,1776157.03
1_facilities_and_construction,2021-2022,1203409.57,1105788.25
1_facilities_and_construction,2022-2023,1036139.24,924177.44
5_transportation_and_logistics,2017-2018,279772.50,287883.00
5_transportation_and_logistics,2018-2019,27852.30,28462.52
5_transportation_and_logistics,2019-2020,503852.68,496211.93
5_transportation_and_logistics,2022-2023,77877.45,69154.67
