d_most_recent_category,total,percentage
3_information_technology,241999718.23,0.5003089590620533
2_professional_services,187202034.43,0.3870205125276062
10_office_management,32563706.42,0.0673220373277389
9_human_capital,5951363.67,0.012303818314283876
6_industrial_products_and_services,4757835.43,0.009836324234322772
5_transportation_and_logistics,4398449.18,0.009093330965095112
4_medical,3887636.19,0.008037278843524443
1_facilities_and_construction,1765751.26,0.0036505049730295443
8_security_and_protection,1008331.96,0.002084620241116019
7_travel,165722.34,3.426135112297214e-4
