d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
2KEYS,2017-2018,200675.57,205875.73
2KEYS,2018-2019,200675.57,203796.37
2KEYS,2019-2020,140198.00,139835.82
73719 NEWFOUNDLAND LABRADOR,2019-2020,67493.50,67069.14
ACART COMMUNICATIONS,2017-2018,1347573.28,1382208.89
ACART COMMUNICATIONS,2018-2019,1636826.55,1662023.56
ACART COMMUNICATIONS,2019-2020,1229446.12,1219070.85
ACART COMMUNICATIONS,2020-2021,923764.16,880931.84
ADRM TECHNOLOGY CONSULTING,2017-2018,223370.83,229159.09
ADRM TECHNOLOGY CONSULTING,2018-2019,144426.07,147058.23
ADRM TECHNOLOGY CONSULTING,2019-2020,312297.86,307714.39
ADRM TECHNOLOGY CONSULTING,2020-2021,502882.51,478075.46
ADRM TECHNOLOGY CONSULTING,2021-2022,221819.41,209061.57
ADVANCED BUSINESS INTERIORS,2019-2020,93160.68,92995.94
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,56412.57,57887.58
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,184371.10,186805.21
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,210729.74,210684.89
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,26938.99,25596.61
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,13533.70,12744.22
AON REED STENHOUSE,2017-2018,51449.62,52777.98
AON REED STENHOUSE,2018-2019,76476.32,77519.27
AON REED STENHOUSE,2019-2020,206642.17,204585.33
AON REED STENHOUSE,2020-2021,117824.23,111901.78
AON REED STENHOUSE,2021-2022,94879.52,89442.40
APPLIED ELECTONICS,2019-2020,50725.82,50047.15
ARTEMP PERSONNEL SERVICES,2017-2018,152220.57,156165.11
ARTEMP PERSONNEL SERVICES,2018-2019,798114.57,809927.62
ARTEMP PERSONNEL SERVICES,2019-2020,205790.90,204661.00
ARTEMP PERSONNEL SERVICES,2020-2021,154780.03,147144.77
ASOKAN BUSINESS INTERIORS,2019-2020,10721.42,10513.72
BANFIELD SEGUIN,2021-2022,187294.27,138470.70
BELL CANADA,2017-2018,11086.96,11379.59
BELL CANADA,2018-2019,1811949.88,1831667.07
BELL CANADA,2019-2020,4555866.29,4517601.71
BELL CANADA,2020-2021,4557877.80,4333075.82
BELL CANADA,2021-2022,4542641.23,3555872.57
BLACKBERRY,2018-2019,40079.74,40637.52
BLACKBERRY,2019-2020,68972.17,68390.59
BLACKBERRY,2020-2021,88596.40,84252.61
BLACKBERRY,2021-2022,197716.83,186953.35
BROOKFIELD ASSET MANAGEMENT,2019-2020,46679.86,46246.35
CALIAN,2017-2018,102097.80,104802.44
CALIAN,2018-2019,154062.56,155959.49
CALIAN,2019-2020,259847.44,257654.60
CANADA POST,2017-2018,84471.56,86660.50
CANADA POST,2018-2019,83519.31,84818.16
CANADA POST,2019-2020,482943.94,478588.21
CANADA POST,2020-2021,102278.74,97233.36
CANADA POST,2021-2022,408332.38,320983.62
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,105110.99,107787.25
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,165993.14,168589.31
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,515698.30,511616.26
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,63236.25,60070.54
CANADIAN CORPS OF COMMISSIONAIRES,2021-2022,74186.73,55938.39
CANON,2017-2018,138573.91,142082.95
CANON,2018-2019,232192.58,235731.53
CANON,2019-2020,269100.81,266829.87
CANON,2020-2021,245922.00,233850.56
CANON,2021-2022,208806.20,163341.71
CARAHSOFT TECHNOLOGY,2019-2020,42514.29,41639.88
CARAHSOFT TECHNOLOGY,2020-2021,80007.21,76259.58
CDW CANADA,2017-2018,359644.86,369480.27
CDW CANADA,2018-2019,111977.56,113581.12
CDW CANADA,2019-2020,61814.88,60776.89
CDW CANADA,2020-2021,127506.24,121187.83
CDW CANADA,2021-2022,80116.66,75173.00
CERIDIAN,2017-2018,1035272.79,1062100.09
CERIDIAN,2018-2019,1035272.79,1051372.81
CERIDIAN,2019-2020,1038109.15,1029348.57
CERIDIAN,2020-2021,1035272.79,984203.07
CERIDIAN,2021-2022,526009.75,411478.82
CISTEL TECHNOLOGY,2017-2018,7368.63,7542.32
CISTEL TECHNOLOGY,2018-2019,16344.96,16684.66
CLOSEREACH,2018-2019,130611.35,132271.96
CLOSEREACH,2019-2020,253358.78,251431.83
CLOSEREACH,2020-2021,227352.81,216137.56
CLOSEREACH,2021-2022,227352.81,177850.06
CNW GROUP,2017-2018,16697.30,17129.98
CNW GROUP,2018-2019,23702.62,24030.19
CNW GROUP,2019-2020,30439.15,30182.28
CNW GROUP,2020-2021,17636.00,16766.02
CNW GROUP,2021-2022,5846.46,5517.93
COMPUGEN,2017-2018,5885466.18,6025109.94
COMPUGEN,2018-2019,19890695.90,20200025.64
COMPUGEN,2019-2020,19945190.96,19776873.98
COMPUGEN,2020-2021,19890695.90,18909493.50
COMPUGEN,2021-2022,13296793.97,12473002.37
CONTRACT COMMUNITY,2018-2019,113655.91,115010.48
CONTRACT COMMUNITY,2019-2020,50949.20,51130.35
CORADIX TECHNOLOGY CONSULTING,2017-2018,3025965.57,3102955.40
CORADIX TECHNOLOGY CONSULTING,2018-2019,1515528.45,1538293.40
CORADIX TECHNOLOGY CONSULTING,2019-2020,2389032.18,2357832.16
CORADIX TECHNOLOGY CONSULTING,2020-2021,4104451.05,3901979.65
CORADIX TECHNOLOGY CONSULTING,2021-2022,3293652.78,2959129.65
COSSETTE COMMUNICATIONS,2017-2018,6289137.75,6452109.88
COSSETTE COMMUNICATIONS,2018-2019,6289137.75,6386943.14
COSSETTE COMMUNICATIONS,2019-2020,6306368.26,6253148.97
DALIAN ENTERPRISES,2018-2019,221850.47,224182.67
DALIAN ENTERPRISES,2019-2020,476768.45,472745.01
DALIAN ENTERPRISES,2020-2021,254384.03,241835.34
DALIAN ENTERPRISES,2021-2022,254384.03,198995.63
DATA COMMUNICATIONS MANAGEMENT,2017-2018,285008.31,292393.81
DATA COMMUNICATIONS MANAGEMENT,2018-2019,355583.00,360709.69
DATA COMMUNICATIONS MANAGEMENT,2019-2020,473254.11,469063.76
DATA COMMUNICATIONS MANAGEMENT,2020-2021,166678.53,157592.87
DATA COMMUNICATIONS MANAGEMENT,2021-2022,137570.27,115802.73
DECISIVE GROUP,2021-2022,15147.77,11492.87
DELOITTE AND TOUCHE,2017-2018,25710.97,26347.84
DELOITTE AND TOUCHE,2018-2019,12702.12,12899.66
DELOITTE AND TOUCHE,2019-2020,12354.12,12255.90
DHL EXPRESS CANADA,2018-2019,68778.28,69454.99
DHL EXPRESS CANADA,2019-2020,493466.86,490148.72
DHL EXPRESS CANADA,2020-2021,146048.49,138270.85
DHL EXPRESS CANADA,2021-2022,246993.76,231870.04
DONNA CONA,2017-2018,327279.85,334994.51
DONNA CONA,2018-2019,457579.74,464548.57
DONNA CONA,2019-2020,417217.53,413145.44
DONNA CONA,2020-2021,24834.60,23659.36
ECOLE DE LANGUES ABCE,2017-2018,38953.53,40022.19
ECOLE DE LANGUES ABCE,2019-2020,11375.00,11135.87
EKOS RESEARCH ASSOCIATES,2018-2019,20876.79,21192.11
EKOS RESEARCH ASSOCIATES,2019-2020,49057.32,48643.33
EKOS RESEARCH ASSOCIATES,2020-2021,10186.77,9616.10
ENTRUST,2017-2018,10693.44,10970.14
ENTRUST,2018-2019,11581.91,11762.03
ENTRUST,2019-2020,27326.43,27080.62
ENTRUST,2020-2021,28515.60,27108.93
ENTRUST,2021-2022,26620.24,20863.61
ENVIRONICS RESEARCH GROUP,2018-2019,337880.37,342565.19
ENVIRONICS RESEARCH GROUP,2020-2021,75294.05,71500.28
ENVIRONICS RESEARCH GROUP,2021-2022,149292.09,116785.92
EPERFORMANCE,2020-2021,229950.00,217068.19
ESRI,2017-2018,242770.39,249184.11
ESRI,2018-2019,182396.79,184887.12
ESRI,2019-2020,344481.40,341529.73
ESRI,2020-2021,353924.90,336203.16
