d_vendor_name,overall_total
MAXIMUS CANADA,22242043.09
ORACLE CANADA,7498954.31
ACART COMMUNICATIONS,5137610.12
CERIDIAN,4669937.26
LIKE 10,2965989.49
GARTNER,2816052.25
PROCOM CONSULTANTS,2395201.31
ORANGUTECH,1925922.10
SAMSON AND ASSOCIATES,1649041.61
GILMORE REPRODUCTIONS,1598649.27
LEO PISCES SERVICES GROUP,1584091.33
IT NET CONSULTANTS,1574323.94
SAS INSTITUTE,1445027.64
PROTAK CONSULTING GROUP,1222109.23
DALIAN ENTERPRISES,1207386.98
SUPER CHANNEL INTERNATIONAL,961378.68
DHL EXPRESS CANADA,955287.39
CLOSEREACH,838675.74
"NAVPOINT CONSULTING GROUP",626006.10
OPENFRAME TECHNOLOGIES,619074.87
ENVIRONICS RESEARCH GROUP,562466.51
AON REED STENHOUSE,547271.86
2KEYS,541549.13
THE IT BROKER,490309.34
FREEBALANCE,485283.04
INSA,482273.32
R E GILMORE INVESTMENTS,462697.14
MICHAEL WAGER CONSULTING,397062.94
BLACKBERRY,395365.13
PROMAXIS,342127.85
TRANSCONTINENTAL PRINTING,279694.54
EPERFORMANCE,229950.00
FAST TRACK STAFFING,224632.41
SAP,195507.90
BANFIELD SEGUIN,187294.27
INFO TECH RESEARCH GROUP,164910.22
HEWLETT PACKARD,162035.37
TOTEM OFFISOURCE,156757.88
RHEA,147057.62
QUINTET CONSULTING,136259.75
CARAHSOFT TECHNOLOGY,122521.50
HOOTSUITE MEDIA,109068.33
ENTRUST,104737.62
CNW GROUP,94321.53
ADVANCED BUSINESS INTERIORS,93160.68
POSTMEDIA NETWORK,86949.84
EKOS RESEARCH ASSOCIATES,80120.88
73719 NEWFOUNDLAND LABRADOR,67493.50
PURELOGIC,62040.36
MEDIA Q,52527.98
GLOBAL UPHOLSTERY,51942.73
BROOKFIELD ASSET MANAGEMENT,46679.86
MAPLESOFT CONSULTING,41391.00
TRANSPOLAR TECHNOLOGY,37497.07
SDL INTERNATIONAL CANADA,34191.93
PROSCI CANADA,33542.81
SYSTEMSCOPE,26282.71
GC STRATEGIES,23799.86
WILLS TRANSFER,21112.20
SYNERSOLUTIONS TECHNOLOGIES,19143.33
NITAM SOLUTIONS,18252.28
NOVA NETWORKS,16533.78
DECISIVE TECHNOLOGIES,15147.77
UNIVERSITY OF OTTAWA,14812.00
OPROMA,11497.50
ASOKAN BUSINESS INTERIORS,10721.42
