year,dataset_2018,dataset_2019,dataset_2020,dataset_2021,dataset_2022,delta_2019_from_2018,delta_2020_from_2019,delta_2021_from_2020,delta_2022_from_2021,percent_2019_from_2018,percent_2020_from_2019,percent_2021_from_2020,percent_2022_from_2021
2000,NA,4,5,6,6,NA,1,1,0,NA,0.25,0.2,0
2001,1,4,4,4,7,3,0,0,3,3,0,0,0.75
2002,16,26,28,30,32,10,2,2,2,0.625,0.07692307692307693,0.07142857142857142,0.06666666666666667
2003,22,28,31,35,39,6,3,4,4,0.2727272727272727,0.10714285714285714,0.12903225806451613,0.11428571428571428
2004,3780,12303,12553,12804,12805,8523,250,251,1,2.2547619047619047,0.020320247094204665,0.019995220266071857,7.810059356451109e-5
2005,6287,21323,21811,22300,22302,15036,488,489,2,2.3916017178304436,0.0228860854476387,0.02241987987712622,8.968609865470852e-5
2006,7619,16714,17205,17697,17699,9095,491,492,2,1.1937262107888174,0.029376570539667343,0.02859633827375763,1.1301350511386111e-4
2007,8395,19910,20463,21016,21024,11515,553,553,8,1.371649791542585,0.02777498744349573,0.027024385476225384,3.8066235249333843e-4
2008,8168,24251,24699,25147,25153,16083,448,448,6,1.9690254652301664,0.018473465011752094,0.018138386169480547,2.3859704934982304e-4
2009,9227,33785,34273,34761,34773,24558,488,488,12,2.6615367941909613,0.014444280005919788,0.01423861348583433,3.4521446448606196e-4
2010,15894,39374,39781,40188,40212,23480,407,407,24,1.4772870265508997,0.010336770457662417,0.010231014806063195,5.971931919976113e-4
2011,20537,49105,49447,49789,49805,28568,342,342,16,1.3910502994595122,0.006964667549129416,0.006916496450745243,3.2135612283837794e-4
2012,20872,45148,45421,45694,45724,24276,273,273,30,1.1630893062476044,0.0060467794808186405,0.006010435701547742,6.565413402197225e-4
2013,20596,41702,42023,42345,42438,21106,321,322,93,1.0247620897261605,0.007697472543283295,0.0076624705518406585,0.0021962451292950763
2014,22184,43579,43993,44408,44544,21395,414,415,136,0.9644338261810314,0.009499988526583906,0.00943331893710363,0.0030625112592325707
2015,25863,48090,48757,49425,49681,22227,667,668,256,0.8594130611297993,0.01386982740694531,0.013700596837377198,0.005179564997470915
2016,30001,49440,50548,51656,53109,19439,1108,1108,1453,0.6479450684977167,0.022411003236245956,0.021919759436575138,0.02812838779619018
2017,67439,76964,78935,80907,81694,9525,1971,1972,787,0.14123874909177184,0.02560937581206798,0.024982580604294674,0.009727217669670114
2018,8,74221,80580,86939,88559,74213,6359,6359,1620,NA,0.08567656054216462,0.07891536361379994,0.01863375470157237
2019,NA,1,39268,78535,81619,NA,39267,39267,3084,NA,NA,0.9999745339716818,0.0392691156809066
2020,NA,NA,NA,62212,72869,NA,NA,NA,10657,NA,NA,NA,0.17130135665144988
2021,NA,NA,NA,8,66821,NA,NA,NA,66813,NA,NA,NA,NA
2022,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
