category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,6302838279.64
1_facilities_and_construction,2018-2019,6044064665.12
1_facilities_and_construction,2019-2020,6078861820.91
1_facilities_and_construction,2020-2021,6378245568.23
10_office_management,2017-2018,498813632.08
10_office_management,2018-2019,484085775.48
10_office_management,2019-2020,537654567.57
10_office_management,2020-2021,477616418.89
11_defence,2017-2018,47388261.53
11_defence,2018-2019,69641224.12
11_defence,2019-2020,74830809.65
11_defence,2020-2021,50842416.53
2_professional_services,2017-2018,3881506762.22
2_professional_services,2018-2019,4453825823.65
2_professional_services,2019-2020,4475699696.36
2_professional_services,2020-2021,4712332805.6
3_information_technology,2017-2018,3733009763.75
3_information_technology,2018-2019,4109498201.3
3_information_technology,2019-2020,5203942723.84
3_information_technology,2020-2021,5643434733.2
4_medical,2017-2018,556780917.43
4_medical,2018-2019,886305684.21
4_medical,2019-2020,774078680.64
4_medical,2020-2021,4276841909.21
5_transportation_and_logistics,2017-2018,2211439148.05
5_transportation_and_logistics,2018-2019,2773476245.15
5_transportation_and_logistics,2019-2020,3912077144.33
5_transportation_and_logistics,2020-2021,3214667422.57
6_industrial_products_and_services,2017-2018,1230082337.52
6_industrial_products_and_services,2018-2019,1309780328.62
6_industrial_products_and_services,2019-2020,1284733364.71
6_industrial_products_and_services,2020-2021,1420091104.61
7_travel,2017-2018,52216062.5
7_travel,2018-2019,65025109.18
7_travel,2019-2020,53446677.11
7_travel,2020-2021,64415887.1
8_security_and_protection,2017-2018,347938255.02
8_security_and_protection,2018-2019,429432503.75
8_security_and_protection,2019-2020,417520814.26
8_security_and_protection,2020-2021,502555120.73
9_human_capital,2017-2018,170601108.23
9_human_capital,2018-2019,200592168.11
9_human_capital,2019-2020,231428694.1
9_human_capital,2020-2021,223865357.77
NA,2017-2018,5225082156.32
NA,2018-2019,3803451348.3
NA,2019-2020,2558145296
NA,2020-2021,1926740532.26
