d_most_recent_category,overall_total
1_facilities_and_construction,21618608109.3
3_information_technology,15803409972.35
2_professional_services,13614859746.54
5_transportation_and_logistics,12768560983.4
4_medical,5950288916.89
6_industrial_products_and_services,4403529043.83
10_office_management,1756171542.89
8_security_and_protection,1530871584.14
11_defence,1477878350.42
9_human_capital,1280510360.18
NA,448932572.51
7_travel,198710676.09
