d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,6028479865.75
1_facilities_and_construction,2018-2019,5931993011.76
1_facilities_and_construction,2019-2020,6065182615.87
1_facilities_and_construction,2020-2021,6312972544.65
10_office_management,2017-2018,1513078300.65
10_office_management,2018-2019,1702138473.47
10_office_management,2019-2020,1761636639
10_office_management,2020-2021,1834617055.73
11_defence,2017-2018,2836489698.55
11_defence,2018-2019,2766057167.86
11_defence,2019-2020,2553824833.4
11_defence,2020-2021,2810529402.68
2_professional_services,2017-2018,2741195136.37
2_professional_services,2018-2019,3222622236.83
2_professional_services,2019-2020,2828839431.38
2_professional_services,2020-2021,3311591030.29
3_information_technology,2017-2018,2287414766.24
3_information_technology,2018-2019,2350384733.89
3_information_technology,2019-2020,2407454119.2
3_information_technology,2020-2021,2743838371.81
4_medical,2017-2018,536246691.85
4_medical,2018-2019,664818975.95
4_medical,2019-2020,696667639.8
4_medical,2020-2021,4129715833.18
5_transportation_and_logistics,2017-2018,667762420.81
5_transportation_and_logistics,2018-2019,911961684.56
5_transportation_and_logistics,2019-2020,1686616352.69
5_transportation_and_logistics,2020-2021,771693694.67
6_industrial_products_and_services,2017-2018,1043829656.15
6_industrial_products_and_services,2018-2019,1075022225.12
6_industrial_products_and_services,2019-2020,1026619162.61
6_industrial_products_and_services,2020-2021,1185215004
7_travel,2017-2018,44389181.97
7_travel,2018-2019,56125082.45
7_travel,2019-2020,43164481.37
7_travel,2020-2021,52518441.35
8_security_and_protection,2017-2018,308754102.16
8_security_and_protection,2018-2019,371942425.74
8_security_and_protection,2019-2020,355805103.83
8_security_and_protection,2020-2021,471258076.92
9_human_capital,2017-2018,87135651.65
9_human_capital,2018-2019,100995443.3
9_human_capital,2019-2020,108030017.75
9_human_capital,2020-2021,110660868.53
NA,2017-2018,38975729.3
NA,2018-2019,44342944.78
NA,2019-2020,44516571.19
NA,2020-2021,49888852.13
