d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,611755.9201417622
1_facilities_and_construction,2018-2019,572621.0713827021
1_facilities_and_construction,2019-2020,648506.6786839147
1_facilities_and_construction,2020-2021,1347025.016977049
10_office_management,2017-2018,28429.1
2_professional_services,2017-2018,496513.7887195121
2_professional_services,2018-2019,487588.7887195121
2_professional_services,2019-2020,533285.4943782705
2_professional_services,2020-2021,452596.44543880265
6_industrial_products_and_services,2017-2018,304548.56848717947
6_industrial_products_and_services,2018-2019,479499.95935897436
6_industrial_products_and_services,2019-2020,280424.89215384616
6_industrial_products_and_services,2020-2021,89992.6351807229
