owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2022-2023,82062.66,72920.50
ced-dec,2022-2023,72504.10,64391.48
cfia-acia,2022-2023,10029.39,8895.10
cnsc-ccsn,2022-2023,7728.56,6893.83
csa-asc,2022-2023,76225.97,67696.89
csc-scc,2022-2023,108199.78,96513.61
csps-efpc,2021-2022,8835.36,8040.95
csps-efpc,2022-2023,26874.22,24047.16
cta-otc,2022-2023,6731.04,6004.05
dfatd-maecd,2022-2023,111777.97,100864.97
dfo-mpo,2022-2023,98715.74,88808.17
dnd-mdn,2021-2022,7905.95,7244.41
dnd-mdn,2022-2023,178828.78,159589.56
ec,2022-2023,75238.47,66885.46
esdc-edsc,2021-2022,5936.39,5366.40
esdc-edsc,2022-2023,244770.76,218393.18
fin,2022-2023,28026.46,24987.13
isc-sac,2022-2023,137576.05,121747.29
jus,2022-2023,32347.90,28658.28
lac-bac,2022-2023,246832.96,220173.63
nrcan-rncan,2022-2023,51041.78,45452.91
nserc-crsng,2022-2023,13871.55,12354.75
pc,2022-2023,58169.77,51649.87
pch,2022-2023,35267.87,31210.14
pco-bcp,2021-2022,7420.49,6708.00
pco-bcp,2022-2023,40411.91,36127.05
rcmp-grc,2022-2023,248727.22,224105.12
ssc-spc,2021-2022,30356.09,28048.73
ssc-spc,2022-2023,39289.56,35159.69
sshrc-crsh,2022-2023,13871.55,12354.75
tbs-sct,2022-2023,158454.03,141832.57
tc,2022-2023,75577.42,67383.14
tsb-bst,2020-2021,6568.80,6266.14
tsb-bst,2021-2022,7939.11,7381.19
tsb-bst,2022-2023,7939.11,7103.95
vac-acc,2022-2023,42188.43,37659.62
