d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,6048003.87,6230938.15
0_other,2018-2019,8758007.54,8916597.27
0_other,2019-2020,8470643.07,8398006.40
0_other,2020-2021,10133210.19,9657764.55
0_other,2021-2022,15850573.90,14772647.00
1_facilities_and_construction,2017-2018,3010152.20,3101459.44
1_facilities_and_construction,2018-2019,3473634.36,3527080.75
1_facilities_and_construction,2019-2020,9905704.51,9820922.04
1_facilities_and_construction,2020-2021,15367254.23,14656941.97
1_facilities_and_construction,2021-2022,13597201.25,12683973.71
10_office_management,2017-2018,4495365.31,4633957.83
10_office_management,2018-2019,3303833.66,3361075.87
10_office_management,2019-2020,3278248.61,3241994.74
10_office_management,2020-2021,3089678.79,2943633.64
10_office_management,2021-2022,2786006.46,2603637.49
2_professional_services,2017-2018,31636828.84,32608251.74
2_professional_services,2018-2019,30862386.90,31430683.14
2_professional_services,2019-2020,32702147.44,32433915.72
2_professional_services,2020-2021,27329860.00,26060882.87
2_professional_services,2021-2022,43775686.91,40793422.68
3_information_technology,2017-2018,157777447.96,162507540.68
3_information_technology,2018-2019,169420184.71,172354955.17
3_information_technology,2019-2020,219478571.30,217276481.27
3_information_technology,2020-2021,246104159.32,234610713.76
3_information_technology,2021-2022,253415545.34,236914534.95
4_medical,2017-2018,7112261.45,7320179.79
4_medical,2018-2019,21506619.10,21890077.63
4_medical,2019-2020,26544252.63,26321632.39
4_medical,2020-2021,28653227.80,27317017.98
4_medical,2021-2022,29651834.30,27753337.68
5_transportation_and_logistics,2017-2018,1323912.29,1364069.80
5_transportation_and_logistics,2018-2019,8458734.38,8576779.82
5_transportation_and_logistics,2019-2020,6999997.32,6885163.28
5_transportation_and_logistics,2020-2021,5876718.25,5610722.23
5_transportation_and_logistics,2021-2022,5242754.72,4872732.20
6_industrial_products_and_services,2017-2018,14124495.83,14554345.64
6_industrial_products_and_services,2018-2019,18247729.63,18545879.68
6_industrial_products_and_services,2019-2020,21486884.75,21274457.44
6_industrial_products_and_services,2020-2021,21711066.12,20684579.54
6_industrial_products_and_services,2021-2022,14038596.03,13115618.81
7_travel,2017-2018,18080.00,18654.23
7_travel,2018-2019,22948.64,23339.57
7_travel,2019-2020,2336742.42,2318766.02
7_travel,2020-2021,667765.58,635979.57
7_travel,2021-2022,1981108.77,1829388.11
8_security_and_protection,2017-2018,20677524.19,21309227.47
8_security_and_protection,2018-2019,26042126.00,26515134.56
8_security_and_protection,2019-2020,29551240.61,29318099.96
8_security_and_protection,2020-2021,25372783.69,24192315.85
8_security_and_protection,2021-2022,16068936.73,15047480.14
9_human_capital,2017-2018,798986.33,822637.13
9_human_capital,2018-2019,1648617.18,1674703.60
9_human_capital,2019-2020,1922742.46,1895060.06
9_human_capital,2020-2021,1832574.98,1746635.02
9_human_capital,2021-2022,1783219.39,1665111.57
