d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,7743846.061785794
1_facilities_and_construction,2018-2019,9411668.272401664
1_facilities_and_construction,2019-2020,14882003.352766035
1_facilities_and_construction,2020-2021,20723211.57767478
10_office_management,2017-2018,4596554.051179654
10_office_management,2018-2019,3708396.0226115393
10_office_management,2019-2020,4354595.134821523
10_office_management,2020-2021,5219044.178901537
2_professional_services,2017-2018,35517915.392830685
2_professional_services,2018-2019,36517348.465710975
2_professional_services,2019-2020,39136143.715185106
2_professional_services,2020-2021,32452458.04266086
3_information_technology,2017-2018,147881391.3201336
3_information_technology,2018-2019,159232175.2660609
3_information_technology,2019-2020,215674797.6385173
3_information_technology,2020-2021,239330663.16215366
4_medical,2017-2018,16501917.971292894
4_medical,2018-2019,29349251.002525926
4_medical,2019-2020,25798737.682896644
4_medical,2020-2021,26130969.53978336
5_transportation_and_logistics,2017-2018,1323912.2850075993
5_transportation_and_logistics,2018-2019,8735765.181399038
5_transportation_and_logistics,2019-2020,7867797.410550131
5_transportation_and_logistics,2020-2021,6703595.387895611
6_industrial_products_and_services,2017-2018,10648327.311313352
6_industrial_products_and_services,2018-2019,14762937.610914312
6_industrial_products_and_services,2019-2020,18025365.06556411
6_industrial_products_and_services,2020-2021,18578140.636505216
7_travel,2017-2018,18080
7_travel,2018-2019,22948.64370843596
7_travel,2019-2020,2336742.4181783567
7_travel,2020-2021,667765.5793058681
8_security_and_protection,2017-2018,21016929.875165716
8_security_and_protection,2018-2019,26360862.01276869
8_security_and_protection,2019-2020,29708291.654367134
8_security_and_protection,2020-2021,25373859.04385987
9_human_capital,2017-2018,829949.4105633335
9_human_capital,2018-2019,1747000.1987732928
9_human_capital,2019-2020,2719948.854504523
9_human_capital,2020-2021,9511261.853369175
NA,2017-2018,1304809.5291401276
NA,2018-2019,1259870.2791401276
NA,2019-2020,1263321.978535032
NA,2020-2021,1259870.2791401276
