d_vendor_name,overall_total
MISHKUMI TECHNOLOGIES,370919.13
EXCEL HUMAN RESOURCES,224759.18439775912
SOCIETE GAMMA,195000.00999999998
THE AIM GROUP,163528.93999999997
CBCI TELECOM COM,133147.17
ALTIS HUMAN RESOURCES,121580.31
FOREST COMMUNICATIONS,118372.16
SOFTCHOICE,117723.63
N12 CONSULTING,107530.8
LEADERS CONSULTING IN GOVERNANCE AND LEADERSHIP,79099.43999999999
RAYMOND CHABOT THORNTON CONSULTING,67630.5
KNOWLEDGE CIRCLE LEARNING SERVICES,56700
XEROX,50573.85368189323
BRECKENHILL,49499.65
ADVANCED BUSINESS INTERIORS,43819.54
LEGER MARKETING,43567.15
ANTHONY MACAULEY ASSOCIATES CONSULTANTS DEVELOPERS,42719.94
CFL ENTERPRISES,40680
TELECOM COMPUTER SERVICES,39919.97
OTUS STRATEGIC FINANCIAL BUSINESS PLANNING GROUP,39690
TOYOTA CANADA,38668.810000000005
EVALUATION PERSONNEL SELECTION INTERNATIONAL,37987.74
TOTEM,29078.56
LORD ELGIN HOTEL,28233.66
CATALYST RESEARCH AND COMMUNICATIONS,26496.065217391304
ERIE CONSULTING GROUP,25000.12
JEANNOT TRUDEL,25000
LES TRADUCTIONS TESSIER S C C,25000
MARIE PAULE KASSIS,24999.999999999996
LANA WELLS,24937.5
COPEM CONSULTING,24871.3
PARKER P CONSULTING,24860
JANIQUE SIMARD OUELLETTE,24238.5
CORCAN,24090
UNIVERSITY OF WESTERN ONTARIO,23801.420000000002
COPEM,22663.426883308715
CNW GROUP,22600
KABOOM COMMUNICATION DESIGN,20000
LLAMA COMMUNICATIONS,20000
TRADUCTIONS ZENITH TRANSLATIONS,20000
MICHAEL DAVID LANGILL,19975
CHRISTINE CROSSMAN CONSULTING,19492.5
COLLECTIVE STAFFING AND WRITING SERVICES,18984
MANIFEST COMMUNICATIONS,18469.466019417476
J A MEDIA SERVICES,16950
MEDIA Q,16950
PETER CAMERON AND ASSOCIATES,16950
HYPERACTIVE PRODUCTIONS,16429.07
SAS INSTITUTE,16352.89
OLIVUS,14125
TEKNION,13515.77317269076
KORN FERRY HAY GROUP,12995
FMC PROFESSIONALS,12072.380000000001
ALINE BARNOTI,12000
CHRISTIANE RYAN,12000
"NATHALIE LECLAIRE",12000
DAVIDSON VIOLETTE ASSOCIATES NEWFOUND RECRUITING IN JOINT VENTURE,11434.26
SURVEYMONKEY EUROPE C O 916710,10842.349999999999
CARON TRAINING CENTRE,10465
FREEMAN AUDIO VISUAL,10213.94
9101 4472 QUEBEC LES TRADUCTIONS ST FRANCOIS,10000
CKG TRAINING AND CONSULTING,10000
DR SCOTT UZELMAN,4411.764705882353
DOMINIQUE LEMIEUX POINT D ORGUE COACHING,66
