d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,354442.05,365471.62
1_facilities_and_construction,2018-2019,517715.75,526127.72
1_facilities_and_construction,2019-2020,770402.80,764487.85
1_facilities_and_construction,2020-2021,235112.90,224200.90
1_facilities_and_construction,2021-2022,270071.95,247330.38
10_office_management,2019-2020,79080.30,78229.77
10_office_management,2021-2022,1255573.09,1170104.00
2_professional_services,2021-2022,50145.17,45595.54
5_transportation_and_logistics,2017-2018,191032.93,196858.85
5_transportation_and_logistics,2018-2019,219959.05,223979.68
5_transportation_and_logistics,2019-2020,220561.68,218791.65
