d_vendor_name,d_fiscal_year,total
11983890 CANADA CENTRE,2020-2021,65812562.19178082
AB SCIEX,2017-2018,1272806.6096956388
AB SCIEX,2018-2019,1278460.184621572
AB SCIEX,2019-2020,1041150.6295599907
AB SCIEX,2020-2021,1668669.876980187
ACT,2017-2018,1254647.5586840524
ACT,2018-2019,1363521.6553423144
ACT,2019-2020,943425.7433151648
ACT,2020-2021,101178.91011052305
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,701514.942608239
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,2215816.6718064444
ADVANIS JOLICOEUR,2017-2018,253660.0855166171
ADVANIS JOLICOEUR,2018-2019,298469.5479387221
ADVANIS JOLICOEUR,2019-2020,385389.2008865828
ADVANIS JOLICOEUR,2020-2021,501458.4686666831
AGILENT,2017-2018,1509517.6260747837
AGILENT,2018-2019,1822316.7285353378
AGILENT,2019-2020,1715240.5545130812
AGILENT,2020-2021,3213785.7256210926
ALTIS HUMAN RESOURCES,2017-2018,1521225.4759070354
ALTIS HUMAN RESOURCES,2018-2019,1753703.8586832806
ALTIS HUMAN RESOURCES,2019-2020,638683.2191493146
ALTIS HUMAN RESOURCES,2020-2021,2040498.8998894556
AMDOCS,2017-2018,1397261.983568075
AMPLEXOR CANADA,2017-2018,146900
AMPLEXOR CANADA,2018-2019,262606.3365827338
AMPLEXOR CANADA,2019-2020,537377.6176725853
AMPLEXOR CANADA,2020-2021,413444.0841038226
APOTEX,2020-2021,2116398.5786270024
ARIS GLOBAL,2017-2018,621620.6647105283
ARIS GLOBAL,2018-2019,1222542.1914485055
ARIS GLOBAL,2019-2020,4183432.174438243
ARIS GLOBAL,2020-2021,1599078.5014408329
ARTEMP PERSONNEL SERVICES,2017-2018,259559.76491403353
ARTEMP PERSONNEL SERVICES,2018-2019,550423.6344832462
ARTEMP PERSONNEL SERVICES,2019-2020,622383.7705058749
ARTEMP PERSONNEL SERVICES,2020-2021,209100.94620075013
BANFIELD SEGUIN,2017-2018,1162246.446086262
BANFIELD SEGUIN,2018-2019,1625363.8039137379
BANFIELD SEGUIN,2019-2020,18563.193697478993
BANFIELD SEGUIN,2020-2021,868366.6390390939
BLUEDOT,2019-2020,66326.08695652173
BLUEDOT,2020-2021,2984673.913043478
BRUKER,2017-2018,878756.1187507657
BRUKER,2018-2019,175618.5924914468
BRUKER,2019-2020,1886472.4683552096
BRUKER,2020-2021,237580.1962991112
CACHE COMPUTER CONSULTING,2017-2018,1291464.7321622914
CACHE COMPUTER CONSULTING,2018-2019,2599838.27494759
CACHE COMPUTER CONSULTING,2019-2020,1052629.054736878
CACHE COMPUTER CONSULTING,2020-2021,879912.2482816302
CALIAN,2017-2018,1480656.7119423093
CALIAN,2018-2019,1034524.1252736872
CALIAN,2019-2020,142286.3044890859
CALIAN,2020-2021,33569.4766951567
CANADA POST,2017-2018,588028.95
CANADA POST,2018-2019,531352.25
CANADA POST,2019-2020,393859.73
CANADA POST,2020-2021,371610.83999999997
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,3770688.67568306
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,3587763.43
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,3805342.64
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,5238154.05
CDW CANADA,2017-2018,252772.5545945946
CDW CANADA,2018-2019,55136.88633802817
CDW CANADA,2019-2020,3078204.2592447246
CDW CANADA,2020-2021,452769.40162103827
CHU SAINTE JUSTINE,2017-2018,1505728.6355376046
CHU SAINTE JUSTINE,2018-2019,2026771.2030927066
CHU SAINTE JUSTINE,2019-2020,2182412.396783173
CHU SAINTE JUSTINE,2020-2021,2414982.591429593
CISTEL TECHNOLOGY,2017-2018,1680191.5742545114
CISTEL TECHNOLOGY,2018-2019,4886613.800891786
CISTEL TECHNOLOGY,2019-2020,5726183.032636013
CISTEL TECHNOLOGY,2020-2021,5699776.076460994
CMG OFFICE INTERIORS,2017-2018,756754.6199999999
CMG OFFICE INTERIORS,2018-2019,767809.905
CMG OFFICE INTERIORS,2019-2020,155823.395
CMG OFFICE INTERIORS,2020-2021,23191.75
COSSETTE COMMUNICATIONS,2017-2018,906205.6731168831
COSSETTE COMMUNICATIONS,2018-2019,14280717.287538107
COSSETTE COMMUNICATIONS,2019-2020,22759469.691274557
COSSETTE COMMUNICATIONS,2020-2021,102801694.37654468
DYNABOOK CANADA,2020-2021,7688499.66
DYNAMIC PERSONNEL CONSULTANTS,2017-2018,500485.93235011544
DYNAMIC PERSONNEL CONSULTANTS,2018-2019,450412.10229051183
DYNAMIC PERSONNEL CONSULTANTS,2019-2020,508491.93538192293
DYNAMIC PERSONNEL CONSULTANTS,2020-2021,25328.279548133596
EARNSCLIFFE STRATEGY GROUP THE,2017-2018,206382.31627739462
EARNSCLIFFE STRATEGY GROUP THE,2018-2019,534228.4673962597
EARNSCLIFFE STRATEGY GROUP THE,2019-2020,449559.74255857326
EARNSCLIFFE STRATEGY GROUP THE,2020-2021,295751.4237677725
EXCEL HUMAN RESOURCES,2017-2018,4487934.7864138335
EXCEL HUMAN RESOURCES,2018-2019,3972170.2543866113
EXCEL HUMAN RESOURCES,2019-2020,3277231.4562737863
EXCEL HUMAN RESOURCES,2020-2021,917141.494016938
EXECUTIVE NURSING AND HEALTH CARE SERVICES,2017-2018,817808.2191780821
EXECUTIVE NURSING AND HEALTH CARE SERVICES,2018-2019,682191.7808219177
EXPRESS SCRIPTS CANADA,2017-2018,21806050.891386997
EXPRESS SCRIPTS CANADA,2018-2019,21806050.891386997
EXPRESS SCRIPTS CANADA,2019-2020,14577195.664379254
FAST FORWARD FRENCH,2017-2018,214711.2017894324
FAST FORWARD FRENCH,2018-2019,450728.67505592376
FAST FORWARD FRENCH,2019-2020,383226.4372787472
FAST FORWARD FRENCH,2020-2021,346819.87359252875
FISHER SCIENTIFIC COMPANY,2017-2018,172805.86000000002
FISHER SCIENTIFIC COMPANY,2018-2019,454336.14
FISHER SCIENTIFIC COMPANY,2019-2020,509493.16332527687
FISHER SCIENTIFIC COMPANY,2020-2021,474577.344632718
FMC PROFESSIONALS,2017-2018,45678.112290076344
FMC PROFESSIONALS,2018-2019,719193.2227182041
FMC PROFESSIONALS,2019-2020,401906.1611124673
FMC PROFESSIONALS,2020-2021,684567.8870916874
FREE FOR ALL MARKETING,2017-2018,3158321.892229168
GARTNER,2017-2018,311821.9633744856
GARTNER,2018-2019,660821.2136986301
GARTNER,2019-2020,623713.348002903
GARTNER,2020-2021,341925.93182043696
GENERAL MOTORS,2017-2018,1650327.93
GENERAL MOTORS,2018-2019,63475.64000000001
GENERAL MOTORS,2019-2020,35588.7
IBM CANADA,2017-2018,571726.5177260274
IBM CANADA,2018-2019,409903.79227397265
IBM CANADA,2019-2020,282446.57027322403
IBM CANADA,2020-2021,1755728.0743295157
IDS SYSTEMS CONSULTANTS,2018-2019,897278.2744282744
IDS SYSTEMS CONSULTANTS,2019-2020,1423511.7255717255
IDS SYSTEMS CONSULTANTS,2020-2021,1009360
IMS HEALTH CANADA,2017-2018,480378.62613033876
IMS HEALTH CANADA,2018-2019,523120.6588696613
IMS HEALTH CANADA,2019-2020,503249.25824657537
INSTRUX MEDIA,2017-2018,814468.3330540607
INSTRUX MEDIA,2018-2019,921519.9754806033
INSTRUX MEDIA,2019-2020,238789.70084033615
INSTRUX MEDIA,2020-2021,1997998.2
INTEGRA NETWORKS,2017-2018,857570.41
INTEGRA NETWORKS,2018-2019,2055166.67
INTEGRA NETWORKS,2020-2021,13546.600000000002
INVENTA SALES AND PROMOTIONS,2017-2018,1304658.320610687
INVENTA SALES AND PROMOTIONS,2018-2019,3544512.2738167937
INVENTA SALES AND PROMOTIONS,2019-2020,1457027.175572519
IPSOS PARTNERSHIP,2017-2018,270673.6334316008
IPSOS PARTNERSHIP,2018-2019,790821.7363902269
IPSOS PARTNERSHIP,2019-2020,355800.23143734806
IPSOS PARTNERSHIP,2020-2021,108796.26800000001
IRON MOUNTAIN,2017-2018,77028.07809334047
IRON MOUNTAIN,2018-2019,109423.04910783323
IRON MOUNTAIN,2019-2020,741796.7669558892
IRON MOUNTAIN,2020-2021,980790.3678670935
IRON MOUNTAIN CANADA OTTAWA,2017-2018,683798.6871311476
IRON MOUNTAIN CANADA OTTAWA,2018-2019,884279.2990983607
IRON MOUNTAIN CANADA OTTAWA,2019-2020,2099361.19
ISOMASS SCIENTIFIC,2017-2018,140433.07805687204
ISOMASS SCIENTIFIC,2018-2019,402096.9739336493
ISOMASS SCIENTIFIC,2019-2020,416599.209478673
ISOMASS SCIENTIFIC,2020-2021,465719.5130707052
IT NET CONSULTANTS,2017-2018,1194454.7482475354
IT NET CONSULTANTS,2018-2019,1194454.7482475354
IT NET CONSULTANTS,2019-2020,1197727.2270098575
IT NET CONSULTANTS,2020-2021,539958.9957831325
LABWARE CANADA,2017-2018,594539.1918339416
LABWARE CANADA,2018-2019,639187.1803396887
LABWARE CANADA,2019-2020,893280.135297634
LABWARE CANADA,2020-2021,223239.94252873564
LANDAUER,2017-2018,839791.6
LANDAUER,2018-2019,39960.5
LANDAUER,2020-2021,966296.9
LANDAUER INLIGHT,2017-2018,502530.52559487306
LANDAUER INLIGHT,2018-2019,425755.68148528406
LANDAUER INLIGHT,2019-2020,961137.4855441479
LANDAUER INLIGHT,2020-2021,303530.19619096507
LIFESPEAK,2017-2018,1150058.1449208083
LIFESPEAK,2018-2019,1150058.1449208083
LIFESPEAK,2019-2020,1153208.989153468
LIFESPEAK,2020-2021,1150058.1449208083
LIONBRIDGE,2017-2018,235609.4
LIONBRIDGE,2018-2019,295284.5427545766
LIONBRIDGE,2019-2020,258113.41213962765
LIONBRIDGE,2020-2021,584668.0406132705
M A INDEPENDENT BUILDING,2017-2018,426119.7446579637
M A INDEPENDENT BUILDING,2018-2019,656761.6439496272
M A INDEPENDENT BUILDING,2019-2020,613262.6963065242
MAKWA RESOURCING,2017-2018,494707.89430794696
MAKWA RESOURCING,2018-2019,891995.6329801886
MAKWA RESOURCING,2019-2020,480657.8928215354
MAKWA RESOURCING,2020-2021,515847.63821702224
MANIFEST COMMUNICATIONS,2017-2018,437832.3262839879
MANIFEST COMMUNICATIONS,2018-2019,700915.7854984894
MANIFEST COMMUNICATIONS,2019-2020,702836.1027190333
MANIFEST COMMUNICATIONS,2020-2021,700915.7854984894
MANPOWER SERVICES CANADA,2017-2018,441774.3220899471
MANPOWER SERVICES CANADA,2018-2019,441774.3220899471
MANPOWER SERVICES CANADA,2019-2020,442984.6626984127
MANPOWER SERVICES CANADA,2020-2021,110140.99537037038
MAPLESOFT CONSULTING,2017-2018,14849.917400881059
MAPLESOFT CONSULTING,2018-2019,208978.1583941606
MAPLESOFT CONSULTING,2019-2020,1203471.7866970524
MAPLESOFT CONSULTING,2020-2021,3170479.5099341893
MAXSYS STAFFING AND CONSULTING,2017-2018,485586.97957221576
MAXSYS STAFFING AND CONSULTING,2018-2019,412841.44357853907
MAXSYS STAFFING AND CONSULTING,2019-2020,552300.0243454643
MAXSYS STAFFING AND CONSULTING,2020-2021,816240.3027628913
MICROSOFT CANADA,2017-2018,19021.65698630137
MICROSOFT CANADA,2018-2019,1466094.4319452054
MICROSOFT CANADA,2019-2020,910071.1509445263
MICROSOFT CANADA,2020-2021,3753913.0945944334
MINISTRY OF HEALTH AND LONG TERM CARE,2017-2018,777339.2507586207
MINISTRY OF HEALTH AND LONG TERM CARE,2018-2019,788135.6292413793
MIWAYAWIN HEALTH CARE,2017-2018,1523608.5766423359
MIWAYAWIN HEALTH CARE,2018-2019,375684.3065693431
NIELSEN MEDIA RESEARCH,2017-2018,1633697.5786111313
NIELSEN MEDIA RESEARCH,2018-2019,332424.11023014225
NIELSEN MEDIA RESEARCH,2019-2020,365409.3896578757
NIELSEN MEDIA RESEARCH,2020-2021,239989.25987815493
NISHA TECHONOLOGIES,2017-2018,425530.1039520958
NISHA TECHONOLOGIES,2018-2019,358189.6811111111
NISHA TECHONOLOGIES,2019-2020,543970.3608539545
NISHA TECHONOLOGIES,2020-2021,396057.1095414847
NORTHERN MICRO,2017-2018,1494712.45
NORTHERN MICRO,2018-2019,1826526.3380786027
NORTHERN MICRO,2019-2020,1380340.6719213973
NORTHERN MICRO,2020-2021,5106399.390000001
OGILVY MONTREAL,2017-2018,546736.5938322813
OGILVY MONTREAL,2018-2019,779526.7841749323
OGILVY MONTREAL,2019-2020,781662.4739945896
OGILVY MONTREAL,2020-2021,260554.15799819655
ONX ENTERPRISE SOLUTIONS,2017-2018,2351089.2600000002
PHYTRONIX INSTRUMENTS,2017-2018,100404.77251343957
PHYTRONIX INSTRUMENTS,2018-2019,91824.27365269461
PHYTRONIX INSTRUMENTS,2019-2020,1537146.4414349776
PHYTRONIX INSTRUMENTS,2020-2021,55196.44618834081
PRECISIONERP,2017-2018,707007.6133765925
PRECISIONERP,2018-2019,987778.5031652567
PRECISIONERP,2019-2020,770286.3959216448
PRECISIONERP,2020-2021,474423.65622035036
PRECISIONIT INCOPORATED,2017-2018,2191006.896331153
PRECISIONIT INCOPORATED,2018-2019,2403590.5456462214
PRECISIONIT INCOPORATED,2019-2020,2368492.6567301834
PRECISIONIT INCOPORATED,2020-2021,971926.1918674699
