d_most_recent_category,total,percentage
3_information_technology,5255629548.15228,0.7564441454629889
10_office_management,538634572.5287156,0.0775258159275234
1_facilities_and_construction,533536691.6887936,0.07679207659519495
2_professional_services,344363183.15095353,0.04956428367351704
6_industrial_products_and_services,173993744.22311547,0.025042965444745404
9_human_capital,78799574.15610236,0.011341643468063014
8_security_and_protection,19617999.295542497,0.002823623806976165
5_transportation_and_logistics,1583493.9618404927,2.2791270309973678e-4
NA,1232784.118103684,1.7743494289606764e-4
7_travel,417549.25999999995,6.009797499529768e-5
