d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,268040647.48,276258011.26
it_consulting_services,2018-2019,410463796.59,418074738.56
it_consulting_services,2019-2020,485885367.05,481853453.70
it_consulting_services,2020-2021,490095036.81,466632509.78
it_consulting_services,2021-2022,517673170.03,480844470.26
it_consulting_services,2022-2023,840170295.71,750916587.76
it_devices_equipment,2017-2018,414017916.99,426624129.72
it_devices_equipment,2018-2019,385827250.47,393338085.32
it_devices_equipment,2019-2020,341863599.49,338978773.24
it_devices_equipment,2020-2021,427948017.83,407406813.94
it_devices_equipment,2021-2022,518054145.68,481117810.30
it_devices_equipment,2022-2023,439353061.19,393168021.30
it_other,2017-2018,564048848.99,581475107.98
it_other,2018-2019,562628470.21,573311906.10
it_other,2019-2020,541241252.82,536756482.98
it_other,2020-2021,523342199.30,498467436.34
it_other,2021-2022,526702512.32,489246879.39
it_other,2022-2023,476995399.25,426639119.75
it_software_licensing,2017-2018,302634404.91,311990622.95
it_software_licensing,2018-2019,316399754.80,322241422.62
it_software_licensing,2019-2020,468238691.46,464438231.57
it_software_licensing,2020-2021,544027321.42,518043079.97
it_software_licensing,2021-2022,677197116.71,628628123.15
it_software_licensing,2022-2023,741187843.84,663085402.49
