d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,18737.10,19181.94
0_other,2020-2021,10912.80,10275.69
1_facilities_and_construction,2017-2018,103907.38,106591.11
1_facilities_and_construction,2018-2019,68365.43,69287.36
1_facilities_and_construction,2019-2020,37736.09,36887.50
1_facilities_and_construction,2020-2021,54030.95,51192.81
1_facilities_and_construction,2021-2022,39791.61,36808.08
10_office_management,2017-2018,15203.14,15597.10
2_professional_services,2017-2018,4621.58,4741.34
2_professional_services,2018-2019,68358.03,69057.00
2_professional_services,2019-2020,319555.31,316858.60
2_professional_services,2020-2021,19208.24,18132.20
3_information_technology,2018-2019,15463.21,15742.08
3_information_technology,2020-2021,43481.45,41205.39
3_information_technology,2021-2022,33640.77,31246.65
5_transportation_and_logistics,2017-2018,14601.30,14950.00
6_industrial_products_and_services,2017-2018,1280140.78,1311599.56
6_industrial_products_and_services,2018-2019,1329812.15,1348736.27
6_industrial_products_and_services,2019-2020,1056063.96,1045887.12
6_industrial_products_and_services,2020-2021,1068688.16,1014026.30
6_industrial_products_and_services,2021-2022,967320.07,892704.59
9_human_capital,2018-2019,23665.29,24175.07
