normalized_vendor_name,original_vendor_name
CANADIAN HELICOPTERS,CANADIAN HELICOPTERS LIMITED
CANADIAN HELICOPTERS,Canadian Helicopters Limited
CANADIAN HELICOPTERS,CANADIAN HELICOPTERS
CANADIAN HELICOPTERS,CANADIAN HELICOPTERS LTD.
CANADIAN HELICOPTERS,CANADIAN HELICOPTER LTD
CANADIAN HELICOPTERS,Canadian Helicopters Ltd
CANADIAN HELICOPTERS,CANADIAN HELICOPTERS LTD
CANADIAN HELICOPTERS,Canadian Helicopters
CANADIAN HELICOPTERS,Canadian Helicopters LTD
CANADIAN HELICOPTERS,CANADIAN HELICOPTER LTD.
