d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2020-2021,90739.00,86060.66
11_defence,2019-2020,17176.00,16766.85
11_defence,2021-2022,72450.64,67362.19
2_professional_services,2017-2018,26924.71,27746.62
2_professional_services,2018-2019,112770.51,114549.35
2_professional_services,2019-2020,251388.55,247579.75
2_professional_services,2020-2021,434497.01,412477.29
2_professional_services,2021-2022,753259.43,693451.39
3_information_technology,2017-2018,833726.14,858578.13
3_information_technology,2018-2019,1321799.24,1344024.08
3_information_technology,2019-2020,1811204.42,1783976.99
3_information_technology,2020-2021,2530605.11,2408031.44
3_information_technology,2021-2022,2640766.78,2457695.54
7_travel,2018-2019,61224.19,62126.92
9_human_capital,2017-2018,357205.45,367700.93
9_human_capital,2018-2019,351961.69,355895.01
9_human_capital,2019-2020,246444.22,243856.34
9_human_capital,2020-2021,354013.69,338209.73
9_human_capital,2021-2022,522457.49,482246.17
