d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,4866102.715521565
1_facilities_and_construction,2018-2019,4241784.04156481
1_facilities_and_construction,2019-2020,4793582.626910608
1_facilities_and_construction,2020-2021,4219440.856618141
2_professional_services,2017-2018,782987.1340141809
2_professional_services,2018-2019,2450865.3190279407
2_professional_services,2019-2020,2173347.0186758735
2_professional_services,2020-2021,1992131.109547106
3_information_technology,2019-2020,20085.75
5_transportation_and_logistics,2019-2020,95232.84642857143
5_transportation_and_logistics,2020-2021,156576.5267857143
6_industrial_products_and_services,2020-2021,5069.4495412844035
