owner_org,d_fiscal_year,total
pc,2018-2019,346187.28
pc,2019-2020,293449.29
pc,2020-2021,273166.16
pc,2021-2022,1253596.10
pch,2017-2018,23109.98
pch,2020-2021,23230.70
pco-bcp,2017-2018,50325.41
pco-bcp,2018-2019,188943.77
pco-bcp,2019-2020,7183.37
pco-bcp,2020-2021,204515.98
pco-bcp,2021-2022,40827.02
phac-aspc,2017-2018,102161.94
phac-aspc,2018-2019,12696.86
phac-aspc,2019-2020,754.94
phac-aspc,2020-2021,17363.52
phac-aspc,2021-2022,3295.05
ppsc-sppc,2020-2021,71816.48
ppsc-sppc,2021-2022,48776.77
ps-sp,2017-2018,18597.95
ps-sp,2018-2019,3414.14
ps-sp,2019-2020,3423.49
ps-sp,2021-2022,4589.48
psc-cfp,2021-2022,284828.37
psic-ispc,2020-2021,49581.41
psic-ispc,2021-2022,4748.43
pwgsc-tpsgc,2017-2018,1322159.51
pwgsc-tpsgc,2018-2019,238311.81
pwgsc-tpsgc,2019-2020,2745663.15
pwgsc-tpsgc,2020-2021,1626320.28
pwgsc-tpsgc,2021-2022,10250953.88
rcmp-grc,2017-2018,242454.36
rcmp-grc,2018-2019,419239.56
rcmp-grc,2019-2020,394240.46
rcmp-grc,2020-2021,747799.71
rcmp-grc,2021-2022,468237.69
ssc-spc,2017-2018,2109875.07
ssc-spc,2018-2019,4315412.75
ssc-spc,2019-2020,10213427.82
ssc-spc,2020-2021,8061019.39
ssc-spc,2021-2022,8057272.01
statcan,2018-2019,214086.98
statcan,2019-2020,10379.05
tbs-sct,2017-2018,64630.35
tbs-sct,2018-2019,141795.16
tbs-sct,2019-2020,25956.10
tbs-sct,2020-2021,26417.34
tbs-sct,2021-2022,13263.02
tc,2017-2018,13388.80
tc,2018-2019,52146.74
tc,2019-2020,210507.93
tc,2020-2021,5356.66
tc,2021-2022,57072.44
vac-acc,2018-2019,194117.27
vac-acc,2019-2020,101027.01
vac-acc,2020-2021,220469.34
vac-acc,2021-2022,63830.73
wd-deo,2020-2021,22867.88
wd-deo,2021-2022,3702.42
