d_most_recent_category,total,percentage
3_information_technology,136382703.54,0.8415324917131782
11_defence,23320293.16,0.14389496543375707
10_office_management,1268758.95,0.007828719102570852
6_industrial_products_and_services,422150.05,0.002604824351518487
9_human_capital,305877.58,0.0018873795236925837
1_facilities_and_construction,270928.91,0.0016717331067885096
0_other,28122.42,1.7352589119046512e-4
5_transportation_and_logistics,26342.62,1.625438568868458e-4
4_medical,21322.82,1.3156980598376218e-4
8_security_and_protection,18191.31,1.1224721443314222e-4
