d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2828259.25,2899637.69
2018-2019,5650126.65,5724711.05
2019-2020,5543939.54,5533435.11
2020-2021,6135804.09,5994800.17
2021-2022,6670413.35,4973572.97
