d_most_recent_category,d_fiscal_year,total
10_office_management,2018-2019,85164.4277181208
10_office_management,2019-2020,24981.342281879195
2_professional_services,2017-2018,2828259.2489686706
2_professional_services,2018-2019,5494586.809548477
2_professional_services,2019-2020,5257915.345050894
2_professional_services,2020-2021,6049650.355066169
3_information_technology,2018-2019,24408
3_information_technology,2019-2020,74901.87826086956
3_information_technology,2020-2021,29031.521739130432
9_human_capital,2018-2019,45967.412621359224
9_human_capital,2019-2020,186140.97750739614
9_human_capital,2020-2021,57122.20987124464
