d_most_recent_category,total,percentage
2_professional_services,9458818.60,0.6178675919285612
5_transportation_and_logistics,2371535.57,0.1549131066058571
1_facilities_and_construction,1343182.55,0.08773917810730489
3_information_technology,957794.37,0.06256490618294393
7_travel,565000.00,0.03690684894474093
10_office_management,515030.21,0.03364272949105876
6_industrial_products_and_services,46605.37,0.0030443492931040016
11_defence,19143.81,0.0012505095143406759
4_medical,18791.51,0.001227496320378033
9_human_capital,12909.67,8.432836117105376e-4
