d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,281009.30628985196
1_facilities_and_construction,2018-2019,375641.5322518823
1_facilities_and_construction,2019-2020,374424.3702464066
1_facilities_and_construction,2020-2021,312107.34534565365
10_office_management,2017-2018,163258.94
10_office_management,2018-2019,197504.22631578948
10_office_management,2019-2020,124719.09368421053
10_office_management,2020-2021,29547.95
11_defence,2017-2018,19143.814652406418
2_professional_services,2017-2018,1745758.4147056856
2_professional_services,2018-2019,2147574.382042081
2_professional_services,2019-2020,2591661.5455987854
2_professional_services,2020-2021,2973824.2623607363
3_information_technology,2018-2019,259740.84507042254
3_information_technology,2019-2020,349504.22535211267
3_information_technology,2020-2021,348549.2957746479
4_medical,2017-2018,18791.51
5_transportation_and_logistics,2017-2018,659603.7188578988
5_transportation_and_logistics,2018-2019,926581.7752415655
5_transportation_and_logistics,2019-2020,549056.5477739627
5_transportation_and_logistics,2020-2021,236293.53309148265
6_industrial_products_and_services,2017-2018,14689.700000000003
6_industrial_products_and_services,2018-2019,22140.66
6_industrial_products_and_services,2019-2020,9775.01
7_travel,2017-2018,282500
7_travel,2018-2019,282500
9_human_capital,2018-2019,2902.28
9_human_capital,2019-2020,5010.540000000001
9_human_capital,2020-2021,4996.85
