d_most_recent_category,total,percentage
2_professional_services,12431369.33,0.629426894940115
5_transportation_and_logistics,3349632.35,0.16959907081189474
1_facilities_and_construction,1683875.85,0.08525824604266567
3_information_technology,1017000.00,0.05149289151035135
7_travel,577222.08,0.029225992077501817
10_office_management,552743.03,0.027986565267347968
11_defence,58055.18,0.0029394581805358383
6_industrial_products_and_services,46605.37,0.0023597298536969357
4_medical,18791.51,9.514544599269248e-4
9_human_capital,15004.24,7.596968559638882e-4
